DBKEY,EIN,UEI,AUDITEENAME,COGAGENCY,DATE_ADDED
78019,530233247,,INSTITUTE FOR DEFENSE ANALYSES,12,3/25/2021
78670,540695125,MEHNDWCSBKD5,ANALYTIC SERVICES INC.,12,5/23/2023
79792,541558882,,CNA,12,3/25/2021
109945,840865803,FR89NXNNSDX3,NATIONAL MARROW DONOR PROGRAM,12,1/31/2023
118387,941160950,,SRI INTERNATIONAL,12,3/25/2021
124066,951958142,,THE RAND CORPORATION,12,3/25/2021
124199,952102389,,THE AEROSPACE CORPORATION,12,4/28/2023
166432,936001832,,PORT OF PORTLAND,12,11/9/2021
188008,911593913,TR9RX33188T4,THE GENEVA FOUNDATION,12,7/13/2023
189490,916001299,,CLARK COUNTY,12,10/3/2022
198458,571067151,,ADVANCED TECHNOLOGY INTERNATIONAL,12,3/25/2021
211446,756037853,,CIVIL AIR PATROL,12,3/25/2021
216666,314379427,,BATTELLE MEMORIAL INSTITUTE,12,3/25/2021
216862,742678229,,FLEXTECH ALLIANCE INC. DBA NEXTFLEX,12,7/1/2022
219797,660540236,,GUAM WATERWORKS AUTHORITY,12,4/19/2022
221323,760727663,,NATIONAL CENTER FOR DEFENSE MANUFACTURING AND MACHINING,12,6/30/2022
245327,465718220,,BEAUMONT HEALTH,12,10/10/2022
246440,474960128,,MEDICAL TECHNOLOGY ENTERPRISE CONSORTIUM,12,9/2/2022
251628,262571197,,NATIONAL ADVANCED MOBILITY CONSORTIUM,12,4/14/2022
3122,042382027,,"COMMUNITY TEAMWORK, INC.",14,3/25/2021
3141,042389659,,"SOUTH MIDDLESEX OPPORTUNITY COUNCIL, INC. AND AFFILIATES",14,4/6/2022
3235,042454675,C1MZSNM5PNJ6,"RCAP SOLUTIONS, INC.",14,1/9/2023
3416,042518368,,"WAY FINDERS, INC. AND SUBSIDIARIES",14,12/7/2021
3471,042543731,,"HRCA HOUSING FOR ELDERLY, INC D/B/A JACK SATTER HOUSE",14,12/26/2021
4261,042775991,,"METROPOLITAN BOSTON HOUSING PARTNERSHIP, INC. DBA METRO HOUSING/BOSTON",14,3/25/2021
4902,043145070,,THE PELHAM II CORPORATION,14,4/22/2022
8474,111630755,,THE BROOKLYN HOSPITAL CENTER,14,10/6/2022
8527,111635081,,MAIMONIDES MEDICAL CENTER,14,3/25/2021
8862,112077747,DA4DKV6LGFK9,ISRAEL SENIOR CITIZENS HOUSING DEVELOPMENT FUND CORP,14,11/27/2022
11022,131740122,,ST BARNABAS HOSPITAL,14,3/25/2021
11980,132738818,,METROPOLITAN COUNCIL ON JEWISH POVERTY AND AFFILIATES,14,3/25/2021
12543,132997301,,THE ST. LUKE'S-ROOSEVELT HOSPITAL CENTER AND AFFILIATES,14,3/25/2021
17092,141641730,,ALBANY MEDICAL CENTER,14,3/25/2021
20500,221487173,,ENGLEWOOD HOSPITAL AND MEDICAL CENTER AND SUBSIDIARIES,14,3/25/2021
20543,262019056,,SAINT PETER'S HEALTHCARE SYSTEM,14,10/10/2022
45589,270581133,,UNION HEALTH SYSTEM,14,3/25/2021
50485,363166895,,SINAI HEALTH SYSTEM AND AFFILIATES,14,3/25/2021
59460,391249426,,"COMMUNITY ADVOCATES, INC. AND AFFILIATES",14,7/21/2022
72628,510116653,,DELAWARE STATE HOUSING AUTHORITY,14,3/25/2021
87073,582044503,,"MEADOWS HEALTHCARE ALLIANCE, INC. DBA MEADOWS HEALTH",14,3/25/2021
93339,620752586,,"DOUGLAS-CHEROKEE ECONOMIC AUTHORITY, INC",14,3/25/2021
98545,720475545,,GENERAL HEALTH SYSTEM,14,3/25/2021
122035,943155150,,LOW INCOME HOUSING INSTITUTE,14,10/3/2022
127155,954382752,CGJWB981V7W5,UNITED STATES VETERANS INITIATIVE AND SUBSIDIARIES,14,1/17/2023
129006,630980480,,ALABAMA HOUSING FINANCE AUTHORITY,14,1/6/2022
129064,636001579,,JEFFERSON COUNTY COMMISSION,14,6/5/2022
129234,636001201,E6FCXGL5FC43,CITY OF BIRMINGHAM,14,5/30/2023
129511,636000390,,HOUSING AUTHORITY OF THE BIRMINGHAM DISTRICT,14,3/25/2021
130250,866000252,,"CITY OF MESA, ARIZONA",14,2/25/2022
130252,866000256,,"CITY OF PHOENIX, ARIZONA",14,3/25/2021
130278,866000266,,"CITY OF TUCSON, ARIZONA",14,3/25/2021
131805,680181576,,CALIFORNIA HOUSING FINANCE AGENCY,14,3/25/2021
131848,946000519,,COUNTY OF MARIN,14,3/25/2021
131882,956000939,,COUNTY OF SAN LUIS OBISPO,14,3/25/2021
131925,946027361,Q3MWNS85DEF8,CITY OF FREMONT,14,3/31/2023
132044,956000733,,CITY OF LONG BEACH,14,3/25/2021
132045,956000735,,CITY OF LOS ANGELES,14,3/25/2021
132056,956000759,,CITY OF PASADENA,14,3/25/2021
132057,956000764,QLK7V1HAF1J2,CITY OF POMONA,14,3/31/2023
132062,956000790,,CITY OF SANTA MONICA,14,4/12/2022
132155,956000666,,CITY OF ANAHEIM,14,3/25/2021
132161,956005848,,CITY OF GARDEN GROVE,14,3/26/2022
132169,956000785,,CITY OF SANTA ANA,14,6/29/2022
132185,952759391,WANRBCLK1AD7,CITY OF IRVINE,14,12/6/2022
132202,956000769,,CITY OF RIVERSIDE,14,12/23/2021
132219,946000759,,SACRAMENTO HOUSING AND REDEVELOPMENT AGENCY,14,3/25/2021
132248,956000690,KVBYLRZMAGJ9,CITY OF CHULA VISTA,14,3/31/2023
132271,946000436,YV3KNQAKJLQ7,CITY OF STOCKTON,14,5/17/2023
132318,946000419,,CITY OF SAN JOSE,14,3/25/2021
132350,946000428,MPMQPX61FMW7,CITY OF SANTA ROSA,14,5/15/2023
132402,946000758,,"HOUSING AUTHORITY OF THE CITY OF OAKLAND, CALIFORNIA",14,3/25/2021
132417,942784334,,HOUISNG AUTHORITY OF THE COUNTY OF ALAMEDA,14,3/25/2021
132478,946000746,,HOUSING AUTHORITY OF THE COUNTY OF CONTRA COSTA,14,3/25/2021
132630,956001629,,HOUSING AUTHORITY OF THE COUNTY OF KERN,14,4/8/2022
132734,956001623,,HOUSING AUTHORITY OF THE CITY OF LOS ANGELES,14,3/25/2021
133100,956001632,,HOUSING AUTHORITY OF THE COUNTY OF SAN BERNARDINO,14,3/25/2021
133274,946000761,,HOUSING AUTHORITY OF THE COUNTY OF SAN MATEO,14,3/25/2021
133295,956001634,,HOUSING AUTHORITY OF THE COUNTY OF SANTA BARBARA,14,3/25/2021
133348,941699385,,HOUSING AUTHORITY OF THE COUNTY OF SANTA CRUZ,14,3/25/2021
133426,946003023,,STANISLAUS REGIONAL HOUSING AUTHORITY,14,6/30/2022
135066,846002414,,HOUSING AUTHORITY OF THE CITY AND COUNTY OF DENVER,14,3/25/2021
135673,066001870,,"CITY OF HARTFORD, CONNECTICUT",14,3/25/2021
135844,237060999,,"PARK CITY COMMUNITIES, INC. FKA HA OF THE CITY OF BRIDGEPORT",14,3/25/2021
135912,066000413,,HOUSING AUTHORITY OF THE CITY OF NEW HAVEN D/B/A ELM CITY COMMUNITIES,14,3/25/2021
135998,516000160,,"NEW CASTLE COUNTY, DELAWARE",14,10/10/2022
136109,596000695,,"LAKE COUNTY, FL",14,5/26/2022
136122,596000773,,"ORANGE COUNTY, FLORIDA",14,3/25/2021
136123,596000780,,OSCEOLA COUNTY BOARD OF COUNTY COMMISSIONERS,14,3/23/2022
136125,596000793,,"PASCO COUNTY, FL",14,3/25/2021
136225,596000375,,"CITY OF MIAMI, FL",14,5/17/2022
136246,596000406,UBMRAF87HQF5,CITY OF PENSACOLA,14,3/30/2023
136274,591101138,,CITY OF TAMPA,14,5/3/2022
136350,596000396,CYLDC3FVBLJ9,CITY OF ORLANDO,14,4/28/2023
136521,591562393,,BROWARD COUNTY HOUSING AUTHORITY,14,3/25/2021
136538,591220360,,HIALEAH HOUSING AUTHORITY,14,3/25/2021
136904,586000802,LUJ2LTXZBX26,CLAYTON COUNTY BOARD OF COMMISSIONERS,14,7/24/2023
136918,586000814,,"DEKALB COUNTY, GA",14,10/10/2022
136943,586000835,,GWINNETT COUNTY BOARD OF COMMISSIONERS,14,7/22/2022
137893,996000567,,COUNTY OF HAWAII,14,10/6/2022
137894,996000658,,COUNTY OF KAUAI,14,3/15/2022
137895,996000618,,COUNTY OF MAUI,14,3/25/2021
137896,996001257,,CITY AND COUNTY OF HONOLULU,14,3/25/2021
138538,362708817,,ILLINOIS HOUSING DEVELOPMENT AUTHORITY,14,3/25/2021
138628,366006551,,"DUPAGE COUNTY, ILLINOIS",14,9/1/2022
140543,366001313,,HOUSING AUTHORITY OF COOK COUNTY,14,3/25/2021
142228,351485172,,INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY,14,3/25/2021
142675,356001063,,CITY OF INDIANAPOLIS,14,7/26/2022
145235,486000653,,CITY OF WICHITA,14,3/25/2021
146140,320049006,,LOUISVILLE/JEFFERSON COUNTY METRO GOVERNMENT,14,3/25/2021
146735,726001371,,TANGIPAHOA PARISH GOVERNMENT,14,8/10/2022
146970,726001390,T16NA5YA1WH3,TERREBONNE PARISH CONSOLIDATED GOVERNMENT,14,6/26/2023
147725,526000889,,"BALTIMORE COUNTY, MD",14,3/25/2021
147735,526000943,,"FREDERICK COUNTY, MARYLAND",14,5/24/2022
147738,526000959,YAALVYBSJWY1,HARFORD COUNTY,14,4/13/2023
147739,526000965,,HOWARD COUNTY,14,5/26/2022
147741,526000980,,MONTGOMERY COUNTY,14,3/25/2021
147743,526000998,,"PRINCE GEORGE'S COUNTY, MD",14,3/25/2021
147758,526000769,,"CITY OF BALTIMORE, MARYLAND",14,3/25/2021
147884,526001394,,HOUSING AUTHORITY OF BALTIMORE CITY,14,10/10/2022
147919,042443980,,MASSACHUSETTS HOUSING FINANCE AGENCY,14,3/25/2021
147937,046001402,,CITY OF NEW BEDFORD,14,3/25/2021
147952,046001383,JJ3JKMU5K4L1,CITY OF CAMBRIDGE MASSACHUSETTS,14,3/31/2023
147965,046001380,,"CITY OF BOSTON, MASSACHUSETTS",14,3/25/2021
148729,386004862,,"COUNTY OF KENT, MICHIGAN",14,6/22/2022
148751,386004876,,"OAKLAND COUNTY, MICHIGAN",14,1/4/2023
148881,386004611,,CITY OF FLINT,14,4/9/2022
148931,386004628,VARBEGGYV751,CITY OF LANSING,14,4/28/2023
149215,386004606,,"CITY OF DETROIT, MICHIGAN",14,3/25/2021
150667,411599130,,MINNESOTA HOUSING FINANCE AGENCY,14,3/25/2021
151542,411677709,,MINNEAPOLIS PUBLIC HOUSING AUTHORITY,14,3/25/2021
152747,430979983,,MISSOURI HOUSING DEVELOPMENT COMMISSION,14,3/25/2021
153460,446000716,,"HOUSING AUTHORITY OF KANSAS CITY, MISSOURI",14,3/25/2021
153624,436003234,,HOUSING AUTHORITY OF ST. LOUIS COUNTY,14,3/25/2021
155086,476006304,,"CITY OF OMAHA, NEBRASKA",14,9/22/2022
155160,476006256,,"CITY OF LINCOLN, NEBRASKA",14,4/15/2022
155946,886000720,,"CITY OF HENDERSON, NEVADA",14,10/10/2022
155947,886000198,,CITY OF LAS VEGAS,14,1/29/2022
155960,886000201,,"CITY OF RENO, NEVADA",14,2/26/2022
155991,886000260,,HOUSING AUTHORITY OF THE CITY OF RENO,14,6/14/2022
156041,026046088,,NEW HAMPSHIRE HOUSING FINANCE AUTHORITY,14,3/25/2021
156513,226002426,,COUNTY OF BERGEN,14,1/23/2023
156754,226002138,,CITY OF NEWARK,14,8/16/2023
156782,226002501,,JERSEY CITY HOUSING AUTHORITY,14,3/25/2021
158023,850252748,,NEW MEXICO MORTGAGE FINANCE AUTHORITY,14,3/25/2021
158041,856000642,,UNIVERSITY OF NEW MEXICO,14,3/25/2021
158056,856000202,,STATE OF NEW MEXICO COUNTY OF BERNALILLO,14,1/7/2022
158089,856000102,,CITY OF ALBUQUERQUE,14,3/25/2021
158537,166002533,,CITY OF BUFFALO,14,1/13/2022
158643,160791244,,ROCHESTER HOUSING AUTHORITY,14,3/25/2021
158767,156000416,TXMLVC8GKRV9,"CITY OF SYRACUSE, NEW YORK",14,3/30/2023
158993,136007340,DA3CE2FN4MW1,CITY OF YONKERS,14,1/19/2023
160937,561700536,,NORTH CAROLINA HOUSING FINANCE AGENCY,14,3/25/2021
161739,566000560,,"HOUSING AUTHORITY OF THE CITY OF CHARLOTTE, NORTH CAROLINA",14,3/25/2021
162629,346000646,,CITY OF CLEVELAND,14,3/25/2021
162757,316000064,,CITY OF CINCINNATI,14,2/11/2022
162957,316000175,,CITY OF DAYTON,14,8/9/2022
163900,316401164,,COLUMBUS METROPOLITAN HOUSING AUTHORITY,14,3/25/2021
163917,316000188,,CINCINNATI METROPOLITAN HOUSING AUTHORITY,14,3/25/2021
163962,346401430,,LUCAS METROPOLITAN HOUSING AUTHORITY,14,3/25/2021
164035,346000029,,AKRON METROPOLITAN HOUSING AUTHORITY,14,3/25/2021
165114,736005359,,THE CITY OF OKLAHOMA CITY,14,5/6/2022
165198,736005470,,CITY OF TULSA OKLAHOMA,14,4/12/2022
166054,936002316,,"WASHINGTON COUNTY, OREGON",14,3/25/2021
166150,936002160,QC6XU4HJEZW3,CITY OF EUGENE,14,12/21/2022
166198,936002236,,"CITY OF PORTLAND, OREGON",14,3/25/2021
166796,231733024,,PENNSYLVANIA HOUSING FINANCE AGENCY,14,3/25/2021
169402,236003266,,PHILADELPHIA HOUSING AUTHORITY,14,3/25/2021
170323,056000193,,HOUSING AUTHORITY OF THE CITY OF PROVIDENCE,14,6/2/2022
170356,591585639,,SOUTH CAROLINA STATE HOUSING FINANCE AND DEVELOPMENT AUTHORITY,14,3/25/2021
171819,626001582,,KNOXVILLE COMMUNITY DEVELOPMENT CORPORATION,14,3/25/2021
171869,626001584,,MEMPHIS HOUSING AUTHORITY,14,3/25/2021
172003,756000905,,DALLAS COUNTY,14,3/25/2021
172116,746000558,,"MONTGOMERY COUNTY, TEXAS",14,4/22/2022
172167,756001170,,TARRANT COUNTY,14,3/25/2021
172246,746002070,,CITY OF SAN ANTONIO,14,3/25/2021
172393,756000508,,"CITY OF DALLAS, TEXAS",14,3/25/2021
172399,756000543,,CITY OF GRAND PRAIRIE TEXAS,14,4/26/2022
172814,756000444,NV4JC28TLJL6,"CITY OF AMARILLO, TEXAS",14,3/9/2023
172891,756000528,,CITY OF FORT WORTH,14,3/25/2021
173037,746002108,,HOUSING AUTHORITY OF THE CITY OF SAN ANTONIO,14,3/25/2021
173203,746000787,,HOUSING AUTHORITY OF THE CITY OF EL PASO,14,3/25/2021
173806,746000117,,HOUSING AUTHORITY OF THE CITY OF AUSTIN,14,3/25/2021
176036,546001123,,"ARLINGTON COUNTY, VIRGINIA",14,3/25/2021
176394,916001368,,SNOHOMISH COUNTY,14,10/3/2022
176397,916001375,GU94D6PX5KT1,THURSTON COUNTY,14,7/13/2023
176492,916001275,,CITY OF SEATTLE,14,3/25/2021
176569,916001283,,CITY OF TACOMA,14,3/16/2023
176795,916000978,,HOUSING AUTHORITY OF THE COUNTY OF KING,14,3/25/2021
176796,916000977,,HOUSING AUTHORITY OF THE CITY OF SEATTLE,14,3/25/2021
176851,916000962,,THE HOUSING AUTHORITY OF THE CITY OF BREMERTON,14,3/25/2021
176997,911061936,,HOUSING AUTHORITY OF SNOHOMISH COUNTY,14,3/25/2021
177869,391209764,,WISCONSIN HOUSING AND ECONOMIC DEVELOPMENT AUTHORITY,14,3/25/2021
178024,396005507,,CITY OF MADISON,14,7/12/2022
178208,396005532,,"CITY OF MILWAUKEE, WISCONSIN",14,3/25/2021
180177,660433539,DE37L8G4Q8M7,MUNICIPALITY OF CAROLINA,14,4/3/2023
180266,660378410,,VIRGIN ISLANDS HOUSING AUTHORITY,14,3/30/2023
180847,161030027,,BUFFALO URBAN RENEWAL AGENCY,14,10/21/2021
181063,521934645,,DISTRICT OF COLUMBIA HOUSING AUTHORITY,14,3/25/2021
181497,010312916,,MAINE STATE HOUSING AUTHORITY,14,3/25/2021
181501,136007014,,MUNICIPAL HOUSING AUTHORITY FOR THE CITY OF YONKERS,14,3/25/2021
181506,546001564,,RICHMOND REDEVELOPMENT AND HOUSING AUTHORITY,14,3/25/2021
181811,362170826,,ADMIN & SERVICE DELIVER OPERATIONS OF THE ARCHDIOCESE OF CHICAGO,14,3/25/2021
182042,820302333,,IDAHO HOUSING AND FINANCE ASSOCIATION,14,3/25/2021
182086,956000714,,CITY OF GLENDALE,14,3/25/2021
182143,550515944,,WEST VIRGINIA HOUSING DEVELOPMENT FUND,14,3/25/2021
182187,481194075,,UNIFIED GOVERNMENT OF WYANDOTTE COUNTY / KANSAS CITY KANSAS,14,12/15/2022
182279,141967871,,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,14,1/6/2022
182305,226002481,,COUNTY OF UNION,14,2/6/2023
182368,521332044,,HOUSING AUTHORITY OF PRINCE GEORGE'S COUNTY,14,3/25/2021
182640,521527664,UFN9T95N4GQ9,OHIO HOUSING FINANCE AGENCY,14,10/17/2022
182827,581222605,,GEORGIA HOUSING & FINANCE AUTHORITY,14,10/7/2021
182986,061267528,,CONNECTICUT HOUSING FINANCE AUTHORITY,14,3/25/2021
183000,660433574,,MUNICIPALITY OF BAYAMON,14,3/25/2021
183029,953777596,,LOS ANGELES COUNTY DEVELOPMENT AUTHORITY FKA COMMUNITY DEV COMMISSION,14,3/25/2021
183038,030221655,,VERMONT STATE HOUSING AUTHORITY,14,3/25/2021
184259,726000536,,HOUSING AUTHORITY OF NEW ORLEANS,14,3/25/2021
184465,132946111,,"GRAND STREET GUILD HOUSING DEVELOPMENT FUND COMPANY, INC.",14,3/25/2021
184655,660427034,,MUNICIPALITY OF SAN JUAN,14,3/25/2021
184677,386000134,,MICHIGAN STATE HOUSING DEVELOPMENT AUTHORITY,14,3/25/2021
185800,136400571,,NEW YORK CITY HOUSING AUTHORITY,14,3/25/2021
185803,256001768,,HOUSING AUTHORITY OF THE CITY OF PITTSBURGH,14,3/25/2021
186308,416005375,,CITY OF MINNEAPOLIS,14,8/16/2022
186694,411309192,,PUBLIC HOUSING AGENCY OF THE CITY OF SAINT PAUL,14,3/25/2021
186867,226002507,,HOUSING AUTHORITY OF THE CITY OF NEWARK,14,3/25/2021
186914,730999618,,OKLAHOMA HOUSING FINANCE AGENCY,14,3/25/2021
187125,540921892,,VIRGINIA HOUSING DEVELOPMENT AUTHORITY,14,3/25/2021
187226,946002988,,HOUSING AUTHORITY OF THE COUNTY OF MARIN,14,10/3/2022
187645,586000511,,CITY OF ATLANTA,14,3/25/2021
187776,116001929,,TOWN OF HEMPSTEAD,14,10/20/2022
187886,226002454,,COUNTY OF MIDDLESEX,14,10/10/2022
188017,351939038,,INDIANAPOLIS HOUSING AGENCY,14,3/25/2021
188422,236003050,,"COUNTY OF YORK, PENNSYLVANIA",14,3/25/2021
188641,593278450,,JACKSONVILLE HOUSING AUTHORITY,14,3/25/2021
188774,953390896,,SAN DIEGO HOUSING COMMISSION,14,3/25/2021
188871,946000749,,HOUSING AUTHORITY OF THE CITY OF FRESNO,14,3/25/2021
189287,222045817,,NEW JERSEY ECONOMIC DEVELOPMENT AUTHORITY,14,3/25/2021
189854,626001585,,METROPOLITAN DEVELOPMENT AND HOUSING AGENCY,14,3/25/2021
190105,942158408,,SONOMA COUNTY COMMUNITY DEVELOPMENT COMMISSION,14,12/16/2021
190261,520859090,,HOUSING OPPORTUNITIES COMMISSION OF MONTGOMERY COUNTY,14,3/25/2021
190356,256000022,,ALLEGHENY COUNTY HOUSING AUTHORITY,14,3/25/2021
190376,132679034,,"SOUTHEAST GRAND STREET GUILD HOUSING DEVELOPMENT FUND COMPANY, INC.",14,3/25/2021
191539,916000980,,HOUSING AUTHORITY OF THE CITY OF TACOMA,14,10/3/2022
191678,746001164,,CITY OF HOUSTON,14,3/25/2021
191679,446000201,,"CITY OF KANSAS CITY, MISSOURI",14,5/5/2022
191815,046003214,UQE5LKJA6E47,LYNN HOUSING AUTHORITY,14,12/31/2022
191887,366006541,,"COOK COUNTY, ILLINIOS",14,3/25/2021
191925,256000879,,CITY OF PITTSBURGH,14,9/20/2022
192010,646010364,,MISSISSIPPI REGIONAL HOUSING AUTHORITY VIII,14,10/6/2022
192516,956000776,,CITY OF SAN DIEGO,14,3/25/2021
192579,954498834,,LOS ANGELES HOMELESS SERVICES AUTHORITY,14,12/31/2022
192789,611447539,,LOUISVILLE METRO HOUSING AUTHORITY,14,3/25/2021
