Program Title,Program Number
Pandemic Relief Activities: Meat and Poultry Processing Capacity - Technical Assistance Grants,10.184
Local Food for Schools Cooperative Agreement Program,10.185
Regional Food Business Centers,10.186
The Emergency Food Assistance Program (TEFAP) Commodity Credit Corporation Eligible Recipient Funds,10.187
Organic Market Development Grant (OMDG) Program,10.188
Local Meat Capacity Grants,10.189
Resilient Food System Infrastructure Program,10.190
Pandemic Assistance for Cotton Merchandisers (PACM),10.191
Bison Production and Marketing Grant Program,10.192
Commodity Credit Corporation (CCC) Funding to Alleviate Emergency Supply Chain Disruption in the Food Distribution Program on Indian Reservation,10.193
Commodity Credit Corporation (CCC) Funding to Alleviate Emergency Supply Chain Disruption in the Commodity Supplemental Food Program (CSFP),10.194
Organic Dairy Product Promotion,10.195
Chesapeake Bay Blue Catfish Purchasing,10.196
"Grants for Agricultural Research, Special Research Grants",10.200
Cooperative Forestry Research,10.202
Payments to Agricultural Experiment Stations Under the Hatch Act,10.203
Payments to 1890 Land-Grant Colleges and Tuskegee University,10.205
Animal Health and Disease Research,10.207
Higher Education National Needs Graduate Fellowship Grants,10.210
Small Business Innovation Research (SBIR) Program / Small Business Technology Transfer (STTR) Program,10.212
Sustainable Agriculture Research and Education,10.215
1890 Institution Capacity Building Grants,10.216
Higher Education - Institution Challenge Grants Program,10.217
Biotechnology Risk Assessment Research,10.219
Higher Education - Multicultural Scholars Grant Program,10.220
Tribal Colleges Education Equity Grants,10.221
Tribal Colleges Endowment Program,10.222
Hispanic Serving Institutions Education Grants,10.223
Community Food Projects,10.225
"Secondary Education, Two-Year Postsecondary Education, and Agriculture in the K-12 Classroom",10.226
1994 Institutions Research Grants,10.227
Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,10.228
Extension Collaborative on Immunization Teaching & Engagement,10.229
Farm of the Future,10.230
Blue Ribbon,10.232
Open Data Standards,10.233
American Rescue Plan Technical Assistance Investment Program,10.234
Bioproduct Pilot Program,10.236
From Learning to Leading: Cultivating the Next Generation of Diverse Food and Agriculture Professionals,10.237
Institute of Rural Partnership (GP 780),10.238
Human Health and Soil Health Study,10.239
Institute of Rural Partnerships (GP 778),10.241
American Rescue Plan Centers of Excellence for Meat and Poultry Processing and Food Safety Research and Innovation Phase III,10.243
"Special Supplemental Nutrition Program for Women, Infants, and Children â National Workforce Strategy Development",10.244
Laying Hen and Turkey Research Program,10.245
Research Facilities Act Program,10.246
Emergency Citrus Disease Research and Extension Program,10.247
Minor Crop Pest Management,10.248
Food and Agricultural Education Information System,10.249
"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations",10.250
Consumer Data and Nutrition Research,10.253
Research Innovation and Development Grants in Economic (RIDGE),10.255
Regional Aquaculture Center Program,10.271
Supplemental and Alternative Crops,10.272
National Atmospheric Deposition Program,10.273
Regional Rural Development Centers,10.274
Yellow Ribbon Reintegration Program and Youth Support Internship Program,10.275
4-H Military Extension Educator Program,10.277
Agriculture in the K-12 Classroom,10.278
"National Food and Agricultural Sciences Teaching, Extension, and Research Awards",10.279
Assistive Technology Program for Farmers with Disabilities,10.280
Military Teen Adventure Camps,10.281
Air Force 4-H Military Partnership Outreach Support Grant Program,10.282
Military Families Learning Network,10.284
Early Learning Matters,10.286
Military REACH,10.287
Clearing House for Military Readiness,10.288
Army Youth Program Evaluation,10.289
Agricultural Market and Economic Research,10.290
Agricultural and Food Policy Research Centers,10.291
Food Loss and Waste Reduction,10.292
Integrated Programs,10.303
Food and Agriculture Defense Initiative (FADI),10.304
International Agricultural Science and Education Grants,10.305
Organic Agriculture Research and Extension Initiative,10.307
"Resident Instruction, Agriculture, and Food Science Facilities and Equipment Grants",10.308
Specialty Crop Research Initiative,10.309
Agriculture and Food Research Initiative (AFRI),10.310
Beginning Farmer and Rancher Development Program,10.311
Biomass Research and Development Initiative Competitive Grants Program (BRDI),10.312
Veterinary Medicine Loan Repayment Program,10.313
"Women and Minorities in Science, Technology, Engineering, and Mathematics Fields",10.318
Farm Business Management and Benchmarking Competitive Grants Program,10.319
Sun Grant Program,10.320
Distance Education Grants for Institutions of Higher Education in Insular Areas,10.322
Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA),10.326
Food Safety Outreach Program,10.328
Crop Protection and Pest Management Competitive Grants Program,10.329
Alfalfa Seed and Alfalfa Forage Systems Program,10.330
Gus Schumacher Nutrition Incentive Program,10.331
Agricultural Genome to Phenome Initiative,10.332
"Urban, Indoor, and Other Emerging Agricultural Production Research, Education, and Extension Initiative",10.333
Enhancing Agricultural Opportunities for Military Veterans Competitive Grants Program,10.334
Veterinary Services Grant Program,10.336
DoD Virtual Lab School,10.337
Family Advocacy,10.338
Composting and Food Waste Reduction Program,10.339
Conservation and Urban Resources Extension,10.342
Special Research Grants Program Aquaculture Research,10.343
Technical Assistance to Cooperatives,10.350
Rural Business Development Grant,10.351
Value-Added Producer Grants,10.352
Biobased Market Development and Access Grant Program (BDAP),10.376
Agriculture Innovation Center Demonstration Program,10.377
Biofuel Producer Program,10.378
Food Supply Chain Guaranteed Loan Program,10.380
Meat and Poultry Processing Expansion Program,10.381
Meat and Poultry Intermediary Lending Program,10.382
Fertilizer Product Expansion Program,10.383
Indigenous Animals Harvesting and Meat Processing Grant Program,10.384
Timber Production Expansion Guaranteed Loans,10.385
Emergency Loans,10.404
Farm Labor Housing Loans and Grants,10.405
Farm Operating Loans and Loan Guarantees,10.406
Farm Ownership Loans and Loan Guarantees,10.407
Very Low to Moderate Income Housing Loans and Loan Guarantees,10.410
Rural Housing Site Loans,10.411
Rural Rental Housing Loans,10.415
Very Low-Income Housing Repair Loans and Grants,10.417
Rural Self-Help Housing Technical Assistance,10.420
Indian Tribes and Tribal Corporation Loans,10.421
Rural Rental Assistance Payments,10.427
Rural Housing Preservation Grants,10.433
State Mediation Grants,10.435
Section 538 Rural Rental Housing Guaranteed Loans,10.438
Outreach and Assistance for Socially Disadvantaged and Veteran Farmers and Ranchers,10.443
Direct Housing_Natural Disaster Loans and Grants,10.444
Rural Community Development Initiative,10.446
Rural Multi-Family Housing Revitalization Demonstration Program (MPR),10.447
Rural Development Multi-Family Housing Rural Housing Voucher Program,10.448
Boll Weevil Eradication Loan Program,10.449
Crop Insurance,10.450
Noninsured Crop Disaster Assistance Program,10.451
Risk Management Education Partnerships,10.460
Socially Disadvantaged Farmers and Ranchers Policy Research Center,10.464
Minority-Serving Institutions Partnership,10.466
Student Internship Programs,10.467
Cooperative Agreements with States for Intrastate Meat and Poultry Inspection,10.475
"Meat, Poultry, and Egg Products Inspection",10.477
Food Safety Cooperative Agreements,10.479
Self Help Housing Land Development Loans,10.490
Multi-Family Housing Non-Profit Transfer Technical Assistance Grants,10.494
Farm Labor Housing Technical Assistance Grants,10.495
Cooperative Extension Service,10.500
Smith-Lever Extension Funding,10.511
"Extension Services at 1890 Colleges and Tuskegee University, West Virginia State College, and Central State University",10.512
Facility Improvements at 1890 Facilities (Sec. 1447),10.513
Expanded Food and Nutrition Education Program,10.514
Renewable Resources Extension Act,10.515
Rural Health and Safety Education Competitive Grants Program,10.516
Tribal Colleges Extension Programs,10.517
Food Animal Residue Avoidance Databank,10.518
Equipment Grants Program (EGP),10.519
Agriculture Risk Management Education Partnerships Competitive Grants Program,10.520
"Children, Youth and Families At-Risk",10.521
Food and Agriculture Service Learning Program,10.522
Centers of Excellence at 1890 Institutions,10.523
Scholarships for Students at 1890 Institutions,10.524
Farm and Ranch Stress Assistance Network Competitive Grants Program,10.525
New Beginning for Tribal Students,10.527
Food Distribution Program on Indian Reservations (FDPIR) Nutrition Paraprofessional Training,10.529
Healthy Fluid Milk Incentive,10.530
State Agency: Farm to School Program Training and Curricula,10.531
School Nutrition Training Grants,10.532
SNAP-Ed Toolkit,10.533
SNAP Fraud Framework Implementation Grant,10.535
Supplemental Nutrition Assistance Program (SNAP) Employment and Training (E&T) Data and Technical Assistance Grants,10.537
CNMI Nutrition Assistance,10.539
Participant Research Innovation Laboratory for Enhancing WIC Services,10.540
Child Nutrition-Technology Innovation Grant,10.541
Farmersâ Market Supplemental Nutrition Assistance Program Support Grants,10.545
Nutrition Assistance Program - American Samoa,10.548
Supplemental Nutrition Assistance Program,10.551
School Breakfast Program,10.553
National School Lunch Program,10.555
Special Milk Program for Children,10.556
"WIC Special Supplemental Nutrition Program for Women, Infants, and Children",10.557
Child and Adult Care Food Program,10.558
Summer Food Service Program for Children,10.559
State Administrative Expenses for Child Nutrition,10.560
State Administrative Matching Grants for the Supplemental Nutrition Assistance Program,10.561
Commodity Supplemental Food Program,10.565
Nutrition Assistance For Puerto Rico,10.566
Food Distribution Program on Indian Reservations,10.567
Emergency Food Assistance Program (Administrative Costs),10.568
Emergency Food Assistance Program (Food Commodities),10.569
WIC Farmers' Market Nutrition Program (FMNP),10.572
Team Nutrition Grants,10.574
Farm to School Grant Program,10.575
Senior Farmers Market Nutrition Program,10.576
SNAP Partnership Grant,10.577
WIC Grants To States (WGS),10.578
Child Nutrition Discretionary Grants Limited Availability,10.579
"Supplemental Nutrition Assistance Program, Process and Technology Improvement Grants",10.580
Fresh Fruit and Vegetable Program,10.582
FNS Food Safety Grants,10.585
National Food Service Management Institute Administration and Staffing Grant,10.587
Bill Emerson National Hunger Fellows and Mickey Leland International Hunger Fellows Programs,10.593
Food Distribution Program on Indian Reservations Nutrition Education Grants,10.594
Foreign Market Development Cooperator Program,10.600
Market Access Program,10.601
Emerging Markets Program,10.603
Technical Assistance for Specialty Crops Program,10.604
Quality Samples Program,10.605
Food for Progress,10.606
Food for Education,10.608
Export Guarantee Program,10.610
USDA Local and Regional Food Aid Procurement Program,10.612
Faculty Exchange Program,10.613
Pima Agriculture Cotton Trust Fund,10.615
Agriculture Wool Apparel Manufacturers Trust Fund,10.616
PL-480 Market Development and Technical Assistance,10.617
Regional Agricultural Promotion Program,10.618
International Agricultural Education Fellowship Program,10.619
Scientific Exchanges Program,10.620
Assisting Specialty Crop Exports,10.621
"Food for Peace, Title II",10.624
Farm to School State Formula Grant,10.645
Summer Electronic Benefit Transfer Program for Children,10.646
Forestry Research,10.652
Cooperative Forestry Assistance,10.664
Schools and Roads - Grants to States,10.665
Schools and Roads - Grants to Counties,10.666
Wood Utilization Assistance,10.674
Urban and Community Forestry Program,10.675
Forest Legacy Program,10.676
Forest Stewardship Program,10.678
Collaborative Forest Restoration,10.679
Forest Health Protection,10.680
Wood  Education and Resource  Center (WERC),10.681
National Forest Foundation,10.682
National Fish and Wildlife Foundation,10.683
International Forestry Programs,10.684
Community Forest and Open Space Conservation Program (CFP),10.689
Lake Tahoe Erosion Control Grant Program,10.690
Good Neighbor Authority,10.691
Watershed Restoration and Enhancement Agreement Authority,10.693
Southwest Forest Health and Wildfire Prevention,10.694
State & Private Forestry Hazardous Fuel Reduction Program,10.697
State & Private Forestry Cooperative Fire Assistance,10.698
Partnership Agreements,10.699
National Agricultural Library,10.700
Stewardship Agreements,10.701
Alaska National Interest Lands Conservation Act (ANILCA) Agreements,10.702
Cooperative Fire Protection Agreement,10.703
Law Enforcement Agreements,10.704
Cooperative Forest Road Agreements,10.705
Grey Towers Cooperative Authorities,10.706
Research Joint Venture Agreement,10.707
Community Wood Energy and Wood Innovation Program,10.708
Cost Reimbursable Agreements,10.709
Forest Service 638 Authority for Tribes,10.711
Great American Outdoors Act Deferred Maintenance Program,10.712
Priority Trail Maintenance Program,10.713
Infrastructure Investment and Job Act Joint Fire Science Program (Research & Development),10.714
Infrastructure Investment and Jobs Act Collaborative Forest Landscape Restoration Program,10.715
Infrastructure Investment and Jobs Act Prescribed Fire/Fire Recovery,10.716
Infrastructure Investment and Jobs Act Restoration/Revegetation,10.717
Infrastructure Investment and Jobs Act Capital Maintenance and Improvement,10.718
Infrastructure Investment and Jobs Act Firewood Bank Program,10.719
Infrastructure Investment and Jobs Act Community Wildfire Defense Grants,10.720
Infrastructure Investment and Jobs Act Temporary Bridge Program,10.721
Community Project Funds - Congressionally Directed Spending,10.723
Wildfire Crisis Strategy Landscapes,10.724
Infrastructure and Investment Jobs Act Financial Assistance to Facilities that Purchase and Process Byproducts for Ecosystem Restoration,10.725
Opal Creek Wilderness Economic Grant Program,10.726
Inflation Reduction Act Urban & Community Forestry Program,10.727
Inflation Reduction Act Hazardous Fuels Transportation Assistance,10.728
Inflation Reduction Act - National Forest System,10.729
Community Project Funds - Congressionally Directed Spending,10.730
Inflation Reduction Act Landscape Scale Restoration,10.731
"Bipartisan Infrastructure Law State, Private & Tribal Agreements",10.732
Bipartisan Infrastructure Law â Removal and Production of Flammable Vegetation to Produce Biochar and Innovative Wood Products,10.733
Inflation Reduction Act - Forest Legacy Program,10.734
Reforestation of Non-Federal Mined Land,10.735
Bipartisan Infrastructure Act Nursery Vegetation,10.736
Collaborative Forest Landscape Restoration Program (CFLRP),10.738
Agriculture Conservation Experienced Services,10.739
Youth Conservation Corps and Public Land Corps,10.740
FY26 Community Project Funds-Congressionally Directed Spending,10.741
Landscape-Scale Restoration,10.742
Rural Energy Savings Program (RESP),10.751
Rural eConnectivity Pilot Program,10.752
Higher Blends Infrastructure Incentive Program,10.754
Rural Innovation Stronger Economy,10.755
Powering Affordable Clean Energy (PACE) Program,10.757
New Empowering Rural America (New ERA) Program,10.758
Part 1774 Special Evaluation Assistance for Rural Communities and Households (SEARCH),10.759
Water and Waste Disposal Systems for Rural Communities,10.760
Water and Waste Technical Assistance and Training Grants,10.761
Solid Waste Management Grants,10.762
Emergency Community Water Assistance Grants,10.763
Community Facilities Loans and Grants,10.766
Intermediary Relending Program,10.767
Business and Industry Guaranteed Loans,10.768
Water and Waste Facility Loans and Grants to Alleviate Health Risks for Colonias and Tribal Lands,10.770
Rural Cooperative Development Grants,10.771
Norman E. Borlaug International Agricultural Science and Technology Fellowship,10.777
Appropriate Technology Transfer for Rural Areas,10.782
Rural Electrification Loans and Loan Guarantees,10.850
Rural Telecommunications Loans,10.851
Rural Economic Development Loans and Grants,10.854
Distance Learning and Telemedicine Grants,10.855
Denali Commission Grants and Loans,10.858
Assistance to High Energy Cost Communities,10.859
Rural Business Investment Program,10.860
Rural Decentralized Water Systems Grant Program,10.862
Community Connect Grant Program,10.863
Grant Program to Establish a Fund for Financing Water and Wastewater Projects,10.864
Biorefinery Assistance,10.865
Bioenergy Program for Advanced Biofuels,10.867
Rural Energy for America Program,10.868
Rural Microentrepreneur Assistance Program,10.870
Socially-Disadvantaged Groups Grant,10.871
Healthy Food Financing Initiative,10.872
Delta Health Care Services Grant Program,10.874
Rural Broadband Access Loans,10.886
Rural Development Cooperative Agreement Program,10.890
Soil and Water Conservation,10.902
Soil Survey,10.903
Watershed Protection and Flood Prevention,10.904
Plant Materials for Conservation,10.905
Snow Survey and Water Supply Forecasting,10.907
Environmental Quality Incentives Program,10.912
Farm and Ranch Lands Protection Program,10.913
Wildlife Habitat Incentive Program,10.914
Watershed Rehabilitation Program,10.916
Agricultural Management Assistance,10.917
Grassland Reserve Program,10.920
Healthy Forests Reserve Program (HFRP),10.922
Emergency Watershed Protection Program,10.923
Conservation Stewardship Program,10.924
Emergency Watershed Protection Program - Disaster Relief Appropriations Act,10.927
Emergency Watershed Protection Program - Floodplain Easements â Disaster Relief Appropriations Act,10.928
Water Bank Program,10.929
Composting and Food Waste Reduction Cooperative Agreement Program,10.930
Agricultural Conservation Easement Program,10.931
Regional Conservation Partnership Program,10.932
Wetland Mitigation Banking Program,10.933
Feral Swine Eradication and Control Pilot Program,10.934
Urban Agriculture and Innovative Production Grants Program (UAIP),10.935
Gulf Coast Ecosystem Restoration,10.936
Partnerships for Climate-Smart Commodities,10.937
"Conservation Outreach, Education and Technical Assistance",10.938
Peopleâs Garden Initiative Cooperative Agreements Program,10.939
Office of Urban Agriculture and Innovative Production,10.940
Conservation Innovation Grants (CIG) On-Farm Trial (OFT),10.941
Conservation Innovation Grants (CIG)-Classic,10.942
Grazing Lands Conservation Initiative,10.943
Collaborative Technical Assistance (cooperative agreement),10.944
Collaborative Technical Assistance (contribution agreement),10.945
Agricultural Statistics Reports,10.950
Census of Agriculture,10.951
Technical Agricultural Assistance,10.960
Scientific Cooperation and Research,10.961
Cochran Fellowship Program,10.962
Emergency Relief Program,10.964
Milk Loss Program,10.965
220 Block Grants,10.967
"Increasing Land, Capital, and Market Access Program",10.968
"FSA Conservation Reserve Program Transition Incentive Program: Outreach, Technical Assistance, and Research Agreements",10.969
Farm Loan Borrower Relief Program,10.970
"Urban Agriculture and Urban County Committee Outreach, Technical Assistance, and Education",10.971
Supplemental Disaster Block Grants,10.972
Emergency Grain Storage Facility Assistance Program,10.973
Rice Production Program,10.976
Organic Dairy Marketing Assistance Program,10.977
Farm Labor Stabilization and Protection Pilot Grant Program,10.978
Emergency Relief Program 2022,10.979
Emergency Livestock Relief Program 2022,10.980
"Testing, Mitigation, and Relief for Agricultural Contamination by Per- and Polyfluoroalkyl Substances",10.982
Outreach Education and Technical Assistance for Disaster Assistance Programs,10.983
Discrimination Financial Assistance Program,10.984
Sugar Processor Block Grants,10.985
Emergency Livestock Relief Program 2023 and 2024,10.986
Emergency Livestock Relief Program 2023 and 2024 Flood and Wildfire,10.987
Supplemental Disaster Relief Program,10.988
On-Farm Stored Commodity Loss Program,10.989
Farmer Bridge Assistance Program,10.990
Assistance for Specialty Crop Farmers,10.991
2025 Sugar Processor Block Grants,10.992
Rural Development Policy Public Service and Leadership Development Program,10.996
U.S. Codex Office Support for International Activities,10.997
NOAA Mission-Related Education Awards,11.008
Ocean Exploration,11.011
Integrated Ocean Observing System (IOOS),11.012
Broad Agency Announcement,11.015
"Statistical, Research, and Methodology  Assistance",11.016
Ocean Acidification Program (OAP),11.017
NOAA Small Business Innovation Research (SBIR) Program,11.021
"Science, Technology, Engineering, and Mathematics (STEM) Talent Challenge Program",11.023
BUILD TO SCALE,11.024
Connecting Minority Communities Pilot Program,11.028
Tribal Broadband Connectivity Program,11.029
Broadband Infrastructure Program,11.031
State Digital Equity Planning and Capacity Grant,11.032
Middle Mile (Broadband) Grant Program,11.033
MBDA Capital Readiness Program,11.034
"Broadband Equity, Access, and Deployment Program",11.035
Digital Equity Competitive Grant Program,11.036
CHIPS Incentives Program,11.037
Public Wireless Supply Chain Innovation Fund Grant Program,11.038
Regional Technology and Innovation Hubs,11.039
Distressed Area Recompete Pilot Program,11.040
CHIPS Research and Development,11.042
National Weather Service Office of Science and Technology Integration Modeling Program,11.043
NIST Small Business Innovation Research Program,11.044
Pacific Coast Salmon Recovery Fund,11.045
Cybersecurity Workforce Community-Building and Stakeholder Engagement,11.046
Joint Quantum Institute,11.047
Regional Alliances and Multistakeholder Partnerships to Stimulate (RAMPS) Cybersecurity Education and Workforce Development,11.048
CHIPS R&D Science and Technology Fellowship Program  2025-NIST-CHIPS-STFP-01,11.049
NOAA Cooperative Aviation Center,11.051
Fire Risk Reduction,11.052
Precision Measurement Grant Program,11.053
JILA,11.054
Measurement Science and Standards Engagement,11.055
Standardization Center of Excellence,11.056
Standards Coordination Office Curricula Development Cooperative Agreement Program,11.057
Bluefin Tuna Research Program,11.058
Information Technology Laboratory Grant Program,11.059
Measurement Science and Engineering (MSE) Research Grant Program-Associate Director for Innovation and Industry Services (ADIIS),11.060
Prescott Grant Program,11.061
Electronic and At-Sea Monitoring Programs,11.062
Research Set Aside Program,11.063
Species Recovery Grant Program,11.064
Marine Turtle Management and Conservation,11.065
"Cost Recovery, Crab Rationalization and Shellfish Programs",11.066
Physical Measurement Laboratory (PML) Grant Program,11.067
Advanced Manufacturing,11.068
"Disaster-Resilient Buildings, Infrastructure, and Communities",11.069
High Performance Building Systems,11.070
2026 Congressionally Identified Construction Grants,11.071
The Communications Technology Grant Program,11.075
NIST Center for Neutron Research Comprehensive Neutron Program,11.076
NIST Center for Neutron Research Grant Program,11.077
Forensic Science Grant Program,11.078
Standards Coordination Office (SCO) Grant Program,11.087
Standards Development Organization Grants for Forensic Science Standards Program (SDO GFSS),11.089
Growing Advanced Manufacturing Ecosystems,11.090
Science and Technology Fellowship Program,11.091
CHIPS Measurement Science and Engineering (MSE) Research Grant Program,11.092
Joint Center for Quantum and Information Sciences (QuICS),11.093
Market Development Cooperator Program,11.112
Investments for Public Works and Economic Development Facilities,11.300
Economic Development Support for Planning Organizations,11.302
Economic Development Technical Assistance,11.303
Economic Adjustment Assistance,11.307
Research and Evaluation Program,11.312
Trade Adjustment Assistance for Firms,11.313
Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),11.400
Hydrographic Services,11.402
Cooperative Institute (Inter-Agency Funded Activities),11.405
Interjurisdictional Fisheries Act of 1986,11.407
Fishermen's Contingency Fund,11.408
Fishery Products Inspection and Certification,11.413
Fisheries Finance Program,11.415
Sea Grant Support,11.417
Coastal Zone Management Administration Awards,11.419
Coastal Zone Management Estuarine Research Reserves,11.420
Saltonstall Kennedy Program,11.427
Marine Sanctuary Program,11.429
Climate and Atmospheric Research,11.431
National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,11.432
Marine Fisheries Initiative,11.433
Cooperative Fishery Statistics,11.434
Southeast Area Monitoring and Assessment Program,11.435
Columbia River Fisheries Development Program,11.436
Fisheries Data Program,11.437
Pacific Salmon Treaty Program,11.438
Marine Mammal Data Program,11.439
"Environmental Sciences, Applications, Data, and Education",11.440
Regional Fishery Management Councils,11.441
"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology",11.451
Bycatch Reduction Engineering Program,11.452
Unallied Projects,11.454
Marine Education and Training,11.455
Chesapeake Bay Studies,11.457
Weather and Air Quality Research,11.459
Habitat Conservation,11.463
Meteorologic and Hydrologic Modernization Development,11.467
Applied Meteorological Research,11.468
Congressionally Identified Awards and  Projects,11.469
Cooperative Research Program,11.472
Office for Coastal Management,11.473
Atlantic Coastal Fisheries Cooperative Management Act,11.474
Fisheries Disaster Relief,11.477
Center for Sponsored Coastal Ocean Research Coastal Ocean Program,11.478
Educational Partnership Program,11.481
Coral Reef Conservation Program,11.482
Fisheries Supplemental Appropriations,11.483
Special Projects,11.553
Calibration Program,11.601
Weights and Measures Service,11.606
Measurement and Engineering Research and Standards,11.609
Manufacturing Extension Partnership,11.611
Congressionally-Identified Projects,11.617
Arrangements for Interdisciplinary Research Infrastructure,11.619
"Science, Technology, Business and/or Education Outreach",11.620
Applied Biological and Chemical Sciences,11.63A
Applied Materials Science and Engineering,11.63B
MBDA Specialty Center Program,11.802
MBDA Native American Business Enterprise Entrepreneurship Program,11.804
MBDA Business Center Program,11.805
Office of Response and Restoration,11.998
Marine Debris Program,11.999
Procurement Technical Assistance For Business Firms,12.002
Community Economic Adjustment Assistance for Responding to Threats to the Resilience of a Military Installation,12.003
Conservation and Rehabilitation of Natural Resources on Military Installations,12.005
National Defense Education Program,12.006
Military Health Services Research (MHSR),12.007
Dredged Material Containment Area,12.008
Youth Conservation Services,12.010
"Management of Undersirable Plants on Federal Lands, 7 U.S.C. 2814",12.012
Past Conflict Accounting - Vietnam,12.015
Transportation - DASH 102X and WMATA 7M Shuttles,12.016
Readiness and Environmental Protection Integration (REPI) Program,12.017
Pacific Center Disaster (PDC) Program,12.019
STARBASE Program,12.020
Army National Guard Army Compatible Use Buffer Program,12.021
DoD Mentor-Protege Program,12.022
Defense Security Cooperation University - Sponsored Research,12.024
Native American Consultation to Identify Sacred Sites and Traditional Cultural Properties,12.025
Corps Water Infrastructure Financing Program (CWIFP),12.026
Defense Community Infrastructure Program,12.027
Community Noise Mitigation Program,12.029
"National Guard Morale, Welfare, and Recreation Program",12.030
Improvement of Navy Ship Repair or Alterations Capability,12.031
Department of War Cyber Academic Engagement Office,12.032
Deployed Warfighter Protection (DWFP) Program FY26,12.033
Community Economic Adjustment Assistance for Defense Modernization Priorities,12.034
State Memorandum of Agreement Program for the Reimbursement of Technical Services,12.113
Collaborative Research and Development,12.114
Department of Defense Appropriation Act of 2003,12.116
Ease 3.0,12.219
Commercial Technologies for Maintenance Activities Program,12.225
Basic and Applied Scientific Research,12.300
"Science, Technology, Engineering & Mathematics (STEM) Education, Outreach and Workforce Program",12.330
"Advanced Manufacturing Technology - Office of the Secretary of Defense (OSD), Manufacturing Technology (ManTech) Program",12.333
"Navy  Command, Control, Communications, Computers, Intelligence, Surveillance, and Reconnaissance",12.335
Naval Medical Research and Development,12.340
Department of Defense HIV/AIDS Prevention Program,12.350
Scientific Research - Combating Weapons of Mass Destruction,12.351
Pest Management and Vector Control Research,12.355
ROTC Language and Culture Training Grants,12.357
Research on Chemical and Biological Defense,12.360
Marine Corps Systems Command Federal Assistance Program,12.369
"Military Construction, National Guard",12.400
National Guard Military Operations and Maintenance (O&M) Projects,12.401
National Guard ChalleNGe Program,12.404
Military Medical Research and Development,12.420
Basic Scientific Research,12.431
U.S. Military Academy Athletic Programs at West Point,12.432
Dissertation Year Fellowship,12.440
Fisher House Foundation,12.460
