,ID,REPORTID,VERSION,DBKEY,AUDITYEAR,SEQ_NUMBER,TYPE_ID,NOTE_INDEX,TITLE,CONTENT,UEI,MULTIPLEUEIS
109660,273515,914243,1,42979,2021,3,3,0,Basis of presentation,"The accompanying schedule of expenditures of federal awards (Schedule) includes the federalaward activity of Zepf Center under programs of the federal government for the year ended June30, 2021. The information in this Schedule is presented in accordance with the requirements ofTitle 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, CostPrinciples, and Audit Requirements for Federal Awards (Uniform Guidance). Because theSchedule presents only a selected portion of the operations of the Zepf Center, it is not intendedto and does not present the financial position, changes in net assets, or cash flows of the ZepfCenter.",,
110720,322370,926505,1,55465,2021,2,2,2,10% De Minimis Cost Rate,"For purposes of charging indirect costs to federal awards, the Agency utilized a negotiated indirect cost rateof 8.7% during the calendar year ending December 31, 2021. The Agency did not elect to use the 10percent de minimis cost rate as permitted by §200.414 of the Uniform Guidance.",,
110721,322371,926505,1,55465,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal grant activity of the Community Action Agency of South Central Michigan, Inc. (the Agency) under programs of the federal government for the year ended December 31, 2021. The information in this schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the Agency, it is not intended to and does not present the financial position, changes in net assets or cash flows of the Agency. Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance or other applicable guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Pass-through entity identifying numbers are presented where available. Revenues are recognized when the qualifying expenditures have been included and all grant requirements have been met.",,
110722,322372,926505,1,55465,2021,3,3,0,In-Kind Contributions,"Inkind contributions were received for the following programs/activities for the year ended December 31, 2021: Child education activities - Head Start and Early Head Start = $1,266,297; Senior services: Aging Cluster = $21,632 and Foster Grandparents/Senior Companion Cluster = $3,829 Total senior services = $25,461; Commodities - Food Distribution Cluster $862,011. Total in-kind contributions = $2,153,769. Of the total in-kind contributions above, $1,113,862 is recognized in the accompanying financial statements because it meets the criteria as established by GAAP.",,
110928,332281,932508,1,59636,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal and state awards (the Schedule) includes the federal and state grant activity of SaintA, Inc. and Subsidiaries under programs of the federal and state government for the year ended December 31, 2021. The information in this schedule is presented in accordance with requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards and the State Single Audit Guidelines.",,
110929,332282,932508,1,59636,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
110930,332283,932508,1,59636,2021,3,3,0,Basis of Accounting,"The accompanying schedule of expenditures of federal and state awards is presented using the accrual basis of accounting, whereby revenues are recognized when earned and expenses are recorded as liabilities when incurred. Such expenditures are recognized following the cost principles contained in Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards, wherein certain types of expenditures are not allowable or are limited as to reimbursement. The Organization has elected not to use the 10-percent de minimis indirect cost rate as allowed under the Uniform Guidance. Pass through entity numbers are presented where available",,
110931,332284,932508,1,59636,2021,4,3,0,"Non-Cash Assistance, Loans, and Insurance","SaintA, Inc. and Subsidiaries did not receive any federal non-cash assistance, federal loans or federal insurance for the year ended December 31, 2021.",,
110932,332285,932508,1,59636,2021,5,3,0,Subrecipients,"SaintA, Inc. and Subsidiaries did not provide federal awards to subrecipients during the year ended December 31, 2021.",,
111002,333954,935378,1,11674,2021,3,3,0,Subrecipients,"During the year ended September 30, 2021, the Fund provided $922,064 relating to their federal programs to subrecipients. ",,
111003,333955,935378,1,11674,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards (""Schedule"") includes the Federal government grant activity of the Fund for the City of New York, Inc. and Affiliates (""Fund"") for the year ended September 30, 2021, and is presented on the accrual basis of accounting. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the Fund, it is not intended to, and does not, present the consolidated financial position, changes in net assets, or cash flows of the Fund. All financial assistance received directly from federal agencies, as well as financial assistance passed through other governmental agencies or nonprofit organizations, is included in the Schedule.",,
111004,333956,935378,1,11674,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
111005,333957,935378,1,11674,2021,5,3,0,477 Cluster,"The source of funding for the 477 Cluster, passed through the NYC Department of Youth and Community Development was ALN# 93.569.",,
111006,333958,935378,1,11674,2021,4,3,0,Loan and Loan Guarantee Programs,"As of September 30, 2021, the Fund did not have any outstanding loans on its programs.",,
112791,258078,910615,1,151734,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"NOTE A:  Basis of PresentationThe accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of Independent School District #129, Montevideo, Minnesota under programs of the federal government for the year ended June 30, 2021.  The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).  Because the Schedule presents only a selected portion of the operations of Independent School District #129, Montevideo, Minnesota, it is not intended to and does not present the financial position, changes in net position, or cash flows of Independent School District #129, Montevideo, Minnesota.  NOTE B: Summary of Significant Accounting PoliciesExpenditures reported on the Schedule are reported on the modified accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.",,
112792,258079,910615,1,151734,2021,3,3,0,donated commodities,"Nonmonetary assistance of $55,985 related to commodities, is reported in the schedule at the fair market value of the commodities received.",,
112793,258080,910615,1,151734,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
113168,267993,904323,1,164200,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,Expenditures reported on the Schedule are reported on the cash basis of accounting. Such expenditures are recognized following the cost principles contained in Uniform Guidance wherein certain types of expenditures may or may not be allowable or may be limited as to reimbursement.,,
113169,267994,904323,1,164200,2021,4,3,0,NOTE E-FOOD DONATION PROGRAM,The District reports commodities consumed on the Schedule at the fair value.  The District allocated donated food commodities to the respective program that benefitted from the use of those donated food commodities. ,,
113170,267995,904323,1,164200,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
113171,267996,904323,1,164200,2021,3,3,0,NOTE D- CHILD NUTRITON CLUSTER,"The District commingles cash receipts from the U.S. Department of Agriculture with similar State grants.  When reporting expenditures on this Schedule, the District assumes it expends federal monies first.",,
114284,335901,935932,1,148726,2021,3,3,0,FISCAL REPORTING,"Certain departments report on a different fiscal year than the County. Grants accounted for and reported on year-ends other than December 31, 2021 are denoted as such in the Schedule with an asterisk (*) for September 30 year ends.",,
114285,335902,935932,1,148726,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal grant activity of the County of Jackson, Michigan (the County) under programs of the federal government for the year ended December 31, 2021, except as discussed below in Note 3. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the County, it is not intended to and does not present the financial position, changes in net position or cash flows of the County. Expenditures reported on the Schedule are reported on the accrual basis of accounting, which is described in Note 1 to the County's financial statements. Such expenditures are recognized following the cost principles contained in the Uniform Guidance and other applicable guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  Negative amounts shown on the Schedule, if any, represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior years.  Pass-through entity identifying numbers are presented where available.",,
114286,335903,935932,1,148726,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
114287,335904,935932,1,148726,2021,4,3,0,REPORTING ENTITY,"The County's reporting entity is defined in Note 1 of the County's basic financial statements. The County's financial statements include the operations of the Jackson County Medical Care Facility, an enterprise fund, which received federal awards that are not included in the Schedule for the year ended December 31, 2021, as this entity was separately audited.",,
116529,280962,918166,1,187793,2021,2,2,2,10% De Minimis Cost Rate,The City did not elect to use the 10% de minimis indirect cost rate as allowed under the Uniform Guidance.,,
116530,280963,918166,1,187793,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Reporting Entity: The reporting entity is fully described in Note 1 to the Citys basic financial statements. Basis of Presentation: The information in the Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Costs Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Expenditures reported on the Schedule are reported on the modified accrual basis of accounting. ",,
117136,323528,932033,1,177387,2021,4,3,0,NOTE 4 - SCHOOLWIDE PROGRAMS,"The Yakima School District operates a ""Schoolwide Program"" in all buildings except Yakima Online and Satellite Programs. Using federal funding, Schoolwide Programs are designed to upgrade an entire educational program within a school for all students, rather than limit services to certain targeted students. The following federal program amounts were expended by the Yakima School District in its Schoolwide Program:                  Title I (84.010) SY 20.21 $3,449,225 in twenty-one (21) schools                           OSSI Comprehensive Schools (84.010): SY 20.21 $441,566 in eight (8) schools                 OSSI Comprehensive schools (84.010): SY 21.22 $2,786 in one (1) school",,
117137,323529,932033,1,177387,2021,5,3,0,NOTE 5 - TRANSFERABILITY,"As allowed by federal regulations, the Yakima School District elected to transfer program funds. The district expended $826,734 from its Title II, Part A Supporting Effective Instruction State Grants (84.367) on allowable activities of the Title I, Part A Grants to Local Educational Agencies (84.010).",,
117138,323530,932033,1,177387,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,Note 1 - Basis of Accounting: The Schedule of Expenditures of Federal Awards is prepared on the same basis of accounting as the Yakima School District's financial statements. The Yakima School District uses the modified accrual basis of accounting. Expenditures represent only the federally funded portions of the program. District records should be consulted to determine amounts expended or matched from non-federal sources. ,,
117139,323531,932033,1,177387,2021,2,2,2,10% De Minimis Cost Rate,"Note 2 - Federal De Minimis Indirect Rate: The Yakima School District has not elected to use the 10-percent de minimis indirect cost rate allowed under the Uniform Guidance. The Yakima School District used the following rates: Federal Restricted Rate is 1.63% for 2019-20, 2.18% for 2020-21 and 1.94% for 2021-22, federal unrestricted rate is 18.44% for 2019-20, 9.99% for 2020-21 and 8.74 % for 2021-22, and Education Stabilization Fund is 9.99% for 2019-20, 9.99% for 2020-21 and 8.74% for 2021-22.",,
117140,323532,932033,1,177387,2021,6,3,0,Note 6 - FEMA DISASTER ASSISTANCE,Disaster assistance expenditures were incurred in a prior year.,,
117141,323533,932033,1,177387,2021,3,3,0,Note 3 -  NONCASH AWARDS,The amount of commodities reported on the schedule is the value of commodities distributed by the Yakima School District during the current year and priced as prescribed by USDA. ,,
117289,325734,927532,1,199179,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
117290,325735,927532,1,199179,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  The Organization has elected not to use the 10-percent de minimis indirect cost rate as allowed under the Uniform Guidance.",,
118534,207936,882497,1,227066,2021,3,3,0,Loan/loan guarantee outstanding balances,SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - Balances outstanding at the end of the audit period were 5900412. ,,
118535,207937,882497,1,227066,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,The schedule of expenditures of federal awards is prepared on the accrual basis of accounting.,,
118543,207938,882497,1,227066,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
119395,274660,913471,1,214331,2021,2,2,2,10% De Minimis Cost Rate,The Corporation has elected to not use the 10% de minimis cost rate.,,
119396,274661,913471,1,214331,2021,3,3,0,Loan/loan guarantee outstanding balances,"SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - The balance of the HUD Capital Grant as of June 30, 2021, under Section 202 of the Housing Act of 1959 is $1,285,700.",,
119397,274662,913471,1,214331,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,The schedule of expenditures of federal awards is prepared on the accrual basis of accounting.,,
120524,327779,932471,1,204281,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the modified accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Negative amounts shown on the Schedule represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior years. Expenditures reported on the Schedule for the COVID-19 Governor's Emergency Education Relief Fund include $7,009 incurred in the fiscal year ended June 30, 2020 and approved as allowable in the fiscal year ended June 30, 2021. The value of food commodities was calculated using the U.S. Department of Agriculture's Food and Nutrition Service commodity price lists.  Federal awards that are included in the Schedule may be received directly from federal agencies, as well as federal awards that are passed through from other government agencies.  Pass-through entity identifying numbers are presented where available.                                                                                                                                                                Indirect costs may be included in the reported expenditures, to the extent that they are included in the federal financial reports used as the source for the data presented.                                                                                                             Matching costs (the District's share of certain program costs) are not included in the reported expenditures.",,
120525,327780,932471,1,204281,2021,3,3,0,Basis of Presentation,"The accompanying schedule of expenditures of federal awards (the ""Schedule"") includes the federal grant activity of Island Park Union Free School District (the ""District"") under programs of the federal government for the fiscal year ended June 30, 2021.  The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the District, it is not intended to and does not present the financial position, changes in net position or cash flows of the District.",,
120526,327781,932471,1,204281,2021,4,3,0,Subrecipients,No amounts were provided to subrecipients.,,
120527,327782,932471,1,204281,2021,5,3,0,Other Disclosures ,No insurance is carried specifically to cover equipment purchased with federal funds. Any equipment purchased with federal funds has only a nominal value and is covered by the District's casualty insurance policies. There were no loans or loan guarantees outstanding at year end.,,
120528,327783,932471,1,204281,2021,2,2,2,10% De Minimis Cost Rate,The District has elected not to use the 10-percent de minimis indirect cost rate allowed under the Uniform Guidance.,,
120607,325852,927039,1,204581,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards (the ""Schedule"") includes the federal award activity of Exceptional Children's Foundation and Affiliates (""ECF"") under programs of the federal government for the year ended June 30, 2021. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of ECF, it is not intended to and does not present the financialposition, changes in net assets, or cash flows of ECF.Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or limited as to reimbursement. Passthrough entity identifying numbers are presented where available and applicable.",,
120608,325853,927039,1,204581,2021,2,2,2,10% De Minimis Cost Rate,ECF does not use the 10% de minimis cost rate.,,
120609,325854,927039,1,204581,2021,3,3,0,Loan/loan guarantee outstanding balances,SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - Balances outstanding at the end of the audit period were 215542. SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - Balances outstanding at the end of the audit period were 165952. SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - Balances outstanding at the end of the audit period were 183026. SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES (14.181) - Balances outstanding at the end of the audit period were 404900. ,,
121646,216755,893857,1,249708,2021,3,3,0,Basis of Presentation,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of The Institute for Excellence in Education under programs of the federal government for the year ended June 30, 2021. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of The Institute for Excellence in Education, it is not intended to and does not present the financial position, changes in net assets, or cash flows of The Institute for Excellence in Education.",,
121647,216756,893857,1,249708,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,Expenditures reported on the Schedule are reported on the accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance where certain types of expenditures are not allowable or are limited as to reimbursement.  ,,
121648,216757,893857,1,249708,2021,2,2,2,10% De Minimis Cost Rate,An indirect cost rate of 8% was used.,,
121649,216758,893857,1,249708,2021,4,3,0,Subrecipients ,No amounts were provided to subrecipients.,,
122241,254238,906822,1,231199,2021,4,3,0,Food Distribution,"Nonmonetary assistance is reported in the schedule of the fair market value of the commodities received and disbursed. At June 30, 2021, the organization had food commodities totaling $6,309 in inventory. ",,
122242,254239,906822,1,231199,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
122243,254240,906822,1,231199,2021,3,3,0,Basis of Presentation,"The accompanying schedule of expenditures of federal awards (the schedule) includes the federal grant activity of the District under programs of the federal government for the year ended June 30, 2021. The information is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the schedule presents only a selected portion of the operations of the District, it is not intended to and does not present the financial position or changes in net position/fund balance of the District. ",,
122244,254241,906822,1,231199,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported in the schedule are reported on the modified accrual basis of accounting. When applicable, such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. No federal financial assistance has been provided to a subrecipient. ",,
123122,320761,931600,1,249524,2021,5,3,0,Other OMB Uniform Guidance Audits,"Tazwood has other affiliates that have expended more than $750,000 in federal awards, which have separate OMB UniformGuidance audits, which are not included in the accompanying schedule of expenditures of federal awards.",,
123123,320762,931600,1,249524,2021,2,2,1,10% De Minimis Cost Rate,The auditee used the de minimis cost rate.,,
123124,320763,931600,1,249524,2021,4,3,0,SCOPE OF AUDIT PURSUANT TO UNIFORM GUIDANCE,"All federal grant activities of PRAIRIE VIEW VILLAS NO. 1 are included in the scope of the U.S. Office of Management andBudget (OMB) Uniform Guidance audit.Under Government Auditing Standards and U.S. Department of Housing and Urban Development (HUD) Regulations, theSupportive Housing For Persons with Disabilities program is considered a major program.",,
123132,320764,931600,1,249524,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"For purposes of the schedule of expenditures of federal awards, federal awards include all grants, contracts, loans, and loanguarantee agreements entered into directly between the Corporation and agencies and departments of the federal government.For the year ended December 31, 2021, the Corporation had no expenditures in the form of noncash assistance, had nofederally funded insurance in effect for the year, and had no sub recipients. The accompanying schedule of expenditures offederal awards is prepared on the accrual basis of accounting.",,
123133,320765,931600,1,249524,2021,3,3,0,Loan/loan guarantee outstanding balances,SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - Balances outstanding at the end of the audit period were 1987800. ,,
123323,318026,930755,1,236361,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
123324,318027,930755,1,236361,2021,3,3,0,Loan/loan guarantee outstanding balances,"RURAL ECONNECTIVITY PILOT PROGRAM (B, E) (10.752) - Balances outstanding at the end of the audit period were 7427069. ",,
123325,318028,930755,1,236361,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the schedule are reported on the accrual basis of accounting. Such expenditures arerecognized following the cost principles contained in the Uniform Guidance, wherein certain types ofexpenditures are not allowable or are limited as to reimbursement. ",,
124530,489086,947148,1,243039,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
124531,489087,947148,1,243039,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"NOTE A  BASIS OF PRESENTATIONThe accompanying schedule of expenditures of federal awards (SEFA) includes the federal grantactivity of the Alston Wilkes Society and its affiliates (the Society) under programs of the federalgovernment for the year ended December 31, 2021. The information in this Schedule is presentedin accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, UniformAdministrative Requirements, Cost Principles, and Audit Requirements for Federal Awards(Uniform Guidance). The purpose of the schedule is to present information relating to expendituresof the Society under grants and contracts programs of the federal government for the year endedDecember 31, 2021. Because the SEFA presents only a selected portion of the operations of theSociety, it is not intended to, and does not, present the financial position, changes in net assets, orcash flows of the Society.NOTE B  BASIS OF ACCOUNTINGThe accompanying schedule of expenditures of federal awards is prepared using the accrualmethod of accounting. Such expenditures are recognized as incurred using the cost accountingprinciples contained in the Uniform Guidance and Federal Acquisition Regulations. Under theguidance, certain types of expenditures are not allowable or are limited as to reimbursement.Expenditures include costs that can be identified with specific projects (e.g., salaries and fringebenefits, travel, and materials) plus allocations of the applicable indirect costs (e.g., grant andcontract administration, general administration, operating overhead, material burden, andengineering services). Negative amounts on the schedule of expenditures of federal awards, if any,represents adjustments or credits made in the normal course of business to amounts reported asexpenditures in prior years.NOTE C - EXPENDITURESFor new awards or modifications of existing awards after December 26, 2014, the expendituresreported in the SEFA follow the cost principles contained in the Uniform Guidance. For existingawards prior to December 26, 2014, the expenditures follow the cost principles contained in OMBCircular A-122, Cost Principles for Non-Profit Organizations. The cost principles indicate thatcertain types of expenditures are not allowable and certain allowable costs are limited as toreimbursement.NOTE D  INDIRECT COST RATEThe Society has elected not to use the 10 percent de minimis indirect cost rate allowed under theUniform Guidance.NOTE E  SUBSEQUENT EVENTSManagement has reviewed the activity of the Alston Wilkes Society subsequent to year-endthrough September 29, 2022, the date the statements were available to be issued, for items ofsignificance that would be required by professional standards to be disclosed in these statementsincluding subsequent events for federal awards.",,
125535,303385,920868,1,504,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
