,ID,AUDITYEAR,DBKEY,EIN,EINSEQNUM,DUNS,DUNSEQNUM
2082,2176532022264233897E,2022,217653,264233897,44,,
2083,2176532022270650527E,2022,217653,270650527,45,,
2084,2176532022271338397E,2022,217653,271338397,46,,
2085,2176532022272026972E,2022,217653,272026972,47,,
2086,2176532022272377250E,2022,217653,272377250,48,,
2087,2176532022300144792E,2022,217653,300144792,52,,
2088,2176532022300144793E,2022,217653,300144793,53,,
2089,2176532022300144796E,2022,217653,300144796,49,,
2090,2176532022300144797E,2022,217653,300144797,50,,
2091,2176532022301090590E,2022,217653,301090590,51,,
2092,2176532022320465924E,2022,217653,320465924,54,,
2093,2176532022352484314E,2022,217653,352484314,55,,
2094,2176532022371859936E,2022,217653,371859936,56,,
2095,2176532022371902268E,2022,217653,371902268,57,,
2096,2176532022383970987E,2022,217653,383970987,58,,
2097,2176532022391877014E,2022,217653,391877014,59,,
2098,2176532022392011157E,2022,217653,392011157,60,,
2099,2176532022392038503E,2022,217653,392038503,100,,
2100,2176532022421664322E,2022,217653,421664322,61,,
2101,2176532022452492404E,2022,217653,452492404,62,,
2102,2176532022453244483E,2022,217653,453244483,63,,
2103,2176532022454680004E,2022,217653,454680004,64,,
2104,2176532022461246721E,2022,217653,461246721,65,,
2105,2176532022461454269E,2022,217653,461454269,66,,
2106,2176532022461457909E,2022,217653,461457909,67,,
2107,2176532022463570101E,2022,217653,463570101,68,,
2108,2176532022464246224E,2022,217653,464246224,69,,
2109,2176532022471035410E,2022,217653,471035410,70,,
2110,2176532022471096507E,2022,217653,471096507,71,,
2111,2176532022471103583E,2022,217653,471103583,72,,
2112,2176532022471115774E,2022,217653,471115774,73,,
2113,2176532022471128671E,2022,217653,471128671,74,,
2114,2176532022471139383E,2022,217653,471139383,75,,
2115,2176532022474570837E,2022,217653,474570837,76,,
2116,2176532022474651906E,2022,217653,474651906,77,,
2117,2176532022475544175E,2022,217653,475544175,78,,
2118,2176532022611906368E,2022,217653,611906368,101,,
2119,2176532022800331395E,2022,217653,800331395,79,,
2120,2176532022800821399E,2022,217653,800821399,80,,
2121,2176532022800954491E,2022,217653,800954491,81,,
2122,2176532022812847137E,2022,217653,812847137,82,,
2123,2176532022814628527E,2022,217653,814628527,83,,
2124,2176532022815016729E,2022,217653,815016729,84,,
2125,2176532022821037657E,2022,217653,821037657,100,,
2126,2176532022821062185E,2022,217653,821062185,85,,
2127,2176532022822505170E,2022,217653,822505170,86,,
2128,2176532022822511184E,2022,217653,822511184,87,,
2129,2176532022822811928E,2022,217653,822811928,88,,
2130,2176532022822874587E,2022,217653,822874587,89,,
2131,2176532022822881060E,2022,217653,822881060,90,,
2132,2176532022825021832E,2022,217653,825021832,91,,
2133,2176532022832336412E,2022,217653,832336412,92,,
2134,2176532022832345759E,2022,217653,832345759,93,,
2135,2176532022832445946E,2022,217653,832445946,94,,
2136,2176532022833163988E,2022,217653,833163988,95,,
2137,2176532022834294437E,2022,217653,834294437,96,,
2138,2176532022841923266E,2022,217653,841923266,97,,
2139,2176532022841943828E,2022,217653,841943828,98,,
2140,2176532022853670653E,2022,217653,853670653,102,,
2141,2176532022871687241E,2022,217653,871687241,103,,
2142,2176532022873759116E,2022,217653,873759116,100,,
2143,2176532022874189681E,2022,217653,874189681,100,,
2144,2176532022884309937E,2022,217653,884309937,100,,
2145,2176532022900852653E,2022,217653,900852653,99,,
2606,19092022043575676E,2022,1909,043575676,1,,
2607,19092022154150077D,2022,1909,,,154150077,1
3495,1714472022620874127E,2022,171447,620874127,3,,
3496,1714472022626000893E,2022,171447,626000893,1,,
3497,1714472022626000897E,2022,171447,626000897,2,,
3498,1714472022626000899E,2022,171447,626000899,4,,
6225,1815262022830318902E,2022,181526,830318902,1,,
6814,984342022013580721D,2022,98434,,,013580721,1
6815,984342022070670252D,2022,98434,,,070670252,2
6816,984342022421615056E,2022,98434,421615056,2,,
6817,984342022720787616E,2022,98434,720787616,1,,
6857,1565242022098150592D,2022,156524,,,098150592,1
8021,1344372022020020533D,2022,134437,,,020020533,1
8812,459682022203463578E,2022,45968,203463578,9,,
8813,459682022260459051E,2022,45968,260459051,8,,
8814,459682022270567557E,2022,45968,270567557,1,,
8815,459682022384123431E,2022,45968,384123431,2,,
8816,459682022421680219E,2022,45968,421680219,7,,
8817,459682022461270560E,2022,45968,461270560,3,,
8818,459682022471678085E,2022,45968,471678085,4,,
8819,459682022474779885E,2022,45968,474779885,5,,
8820,459682022814686769E,2022,45968,814686769,6,,
8821,459682022853027158E,2022,45968,853027158,10,,
8839,712432022202119977E,2022,71243,202119977,3,,
8840,712432022510064334E,2022,71243,510064334,6,,
8841,712432022510295186E,2022,71243,510295186,1,,
8842,712432022520607945E,2022,71243,520607945,2,,
8843,712432022521479538E,2022,71243,521479538,7,,
8844,712432022521794553E,2022,71243,521794553,5,,
8845,712432022812662359E,2022,71243,812662359,4,,
