ELECAUDITSID,ID,AUDITYEAR,DBKEY,CFDASEQNUM,CFDA,FEDERALPROGRAMNAME,AMOUNT,MAJORPROGRAM,TYPEREQUIREMENT,QCOSTS2,FINDINGS,FINDINGREFNUMS,RD,DIRECT,CFDA_PREFIX,CFDA_EXT,EIN,CFDA2,TYPEREPORT_MP,TYPEREPORT_MP_OVERRIDE,ARRA,LOANS,FINDINGSCOUNT,LOANBALANCE,PASSTHROUGHAMOUNT,AWARDIDENTIFICATION,CLUSTERNAME,PASSTHROUGHAWARD,STATECLUSTERNAME,PROGRAMTOTAL,CLUSTERTOTAL,OTHERCLUSTERNAME,CFDAPROGRAMNAME
31144392,4155820195,2019,41558,5,84.379,TEACHER EDUCATION ASSISTANCE FOR COLLEGE AND HIGHER EDUCATION GRANTS (TEACH GRANTS),55448,Y,,,,,,Y,84,379,330413730,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,55448,28615421,,TEACHER EDUCATION ASSISTANCE FOR COLLEGE AND HIGHER EDUCATION GRANTS (TEACH GRANTS)
31144393,4155820196,2019,41558,6,84.268,FEDERAL DIRECT STUDENT LOANS,18209724,Y,,,,,,Y,84,268,330413730,84,U,,,Y,0,-1,0,,STUDENT FINANCIAL ASSISTANCE,N,,18209724,28615421,,FEDERAL DIRECT STUDENT LOANS
31144394,4155820197,2019,41558,7,84.031,HIGHER EDUCATION_INSTITUTIONAL AID,596385,N,,,,,,Y,84,031,330413730,84,,,,N,0,,0,,,N,,596385,0,,HIGHER EDUCATION_INSTITUTIONAL AID
31144395,4155820198,2019,41558,8,47.074,RVI: EVALUATING FORM - FUNCTION - FITNESS RELATIONSHIPS IN POLYPHONIC BLUEGILL,16459,N,,,,,,Y,47,074,330413730,47,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,30369,30369,,BIOLOGICAL SCIENCES
31144396,4155820199,2019,41558,9,47.074,VT: VIRUS-HOST INTERACTIONS IN THE ASSEMBLY OF POSITIVE STRAND RNA VIRUS REPLICATION COMPLEXES,13910,N,,,,,,N,47,074,330413730,47,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,30369,30369,,BIOLOGICAL SCIENCES
30742811,5724520191,2019,57245,1,14.155,MORTGAGE INSURANCE FOR THE PURCHASE OR REFINANCING OF EXISTING MULTIFAMILY HOUSING PROJECTS-BALANCE OF MORTGAGE LOAN UNDER SECTION 223(F) OF THE NATIONAL HOUSING ACT,3173021,Y,,,,,,Y,14,155,382846460,14,U,,,Y,0,3083070,0,,,N,,3173021,0,,MORTGAGE INSURANCE FOR THE PURCHASE OR REFINANCING OF EXISTING MULTIFAMILY HOUSING PROJECTS
30742812,5724520192,2019,57245,2,14.195,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM,493201,N,,,,,,Y,14,195,382846460,14,,,,N,0,,0,,,N,,493201,0,,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM
30742813,5724520193,2019,57245,3,14.191,MULTIFAMILY HOUSING SERVICE COORDINATORS,24915,N,,,,,,Y,14,191,382846460,14,,,,N,0,,0,,,N,,24915,0,,MULTIFAMILY HOUSING SERVICE COORDINATORS
31001269,7177020191,2019,71770,1,84.063,FEDERAL PELL GRANT PROGRAM,3430176,Y,,,,,,Y,84,063,510175975,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,6860352,11459772,,FEDERAL PELL GRANT PROGRAM
31001270,7177020192,2019,71770,2,84.063,FEDERAL PELL GRANT PROGRAM,3430176,Y,,,,,,Y,84,063,510175975,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,6860352,11459772,,FEDERAL PELL GRANT PROGRAM
31001273,7177020193,2019,71770,3,84.007,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS,126542,Y,,,,,,Y,84,007,510175975,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,253084,11459772,,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS
31001295,7177020197,2019,71770,7,84.268,FEDERAL DIRECT STUDENT LOANS,1976213,Y,,,,,,Y,84,268,510175975,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,3952426,11459772,,FEDERAL DIRECT STUDENT LOANS
31001274,7177020194,2019,71770,4,84.007,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS,126542,Y,,,,,,Y,84,007,510175975,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,253084,11459772,,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS
31001275,7177020195,2019,71770,5,84.033,FEDERAL WORK-STUDY PROGRAM,196955,Y,,,,,,Y,84,033,510175975,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,393910,11459772,,FEDERAL WORK-STUDY PROGRAM
31001276,7177020196,2019,71770,6,84.033,FEDERAL WORK-STUDY PROGRAM,196955,Y,,,,,,Y,84,033,510175975,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,393910,11459772,,FEDERAL WORK-STUDY PROGRAM
31001296,7177020198,2019,71770,8,84.268,FEDERAL DIRECT STUDENT LOANS,1976213,Y,,,,,,Y,84,268,510175975,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,3952426,11459772,,FEDERAL DIRECT STUDENT LOANS
32092305,7781420191,2019,77814,1,47.075,COLLABORATIVE LEADERSHIP DEVELOPMENT WORKSHOP,47175,Y,,,,,,Y,47,075,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,177299,10731100,,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES"
32092314,77814201910,2019,77814,10,47.076,NATIONAL PARKS SCIENCE CHALLENGE,325658,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,192978,,RESEARCH AND DEVELOPMENT,Y,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092315,77814201911,2019,77814,11,47.076,INCLUDES OPEN FORUM,154837,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,32818,,RESEARCH AND DEVELOPMENT,Y,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092316,77814201912,2019,77814,12,47.076,DEVELOPING AN EVIDENCE-BASED BEST-PRACTICES COMMUNITY,859145,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092317,77814201913,2019,77814,13,47.076,STEM EQUITY ACHIEVEMENT (SEA CHANGE) WITH BIOMED TRACK,503197,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092318,77814201914,2019,77814,14,47.076,ERN-PREPARING DIVERSE STEM RESEARCH TO ADDRESS GLOBAL...,227914,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092319,77814201915,2019,77814,15,47.076,IMPROVING UNDERGRADUATE STEM EDUC (IUSE) NATIONAL SUMMIT,24228,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092320,77814201916,2019,77814,16,47.076,IDENTIFYING LINGUISTIC FACTORS - MS SCIENCE ASSESSMENTS,72476,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,47294,,RESEARCH AND DEVELOPMENT,Y,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092321,77814201917,2019,77814,17,47.076,MORGAN ST UNIV: COLLABORATIVE RESEARCH EARLY STEM,10678,Y,,,,,,N,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092322,77814201918,2019,77814,18,47.076,UNIV. OF UTAH: BLDG HS STUDENTS' UNDERSTANDING OF EVOLUTION,10648,Y,,,,,,N,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092323,77814201919,2019,77814,19,47.083,SCIENCE AND TECHNOLOGY POLICY FELLOWSHIPS,3057810,Y,,,,,,Y,47,083,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,4729034,10731100,,INTEGRATIVE ACTIVITIES
32092306,7781420192,2019,77814,2,47.075,SOCIAL RESPONSIBILITIES OF SCIENTISTS & ENGINEERS,130124,Y,,,,,,Y,47,075,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,177299,10731100,,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES"
32092324,77814201920,2019,77814,20,47.083,2019-22 SCIENCE AND TECHNOLOGY POLICY FELLOWSHIPS,1671224,Y,,,,,,Y,47,083,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,4729034,10731100,,INTEGRATIVE ACTIVITIES
32092325,77814201921,2019,77814,21,84.305,BUILDING STUDENTS' UNDERSTANDING OF ENERGY IN HS BIOLOGY,173247,Y,,,,,,Y,84,305,530196568,84,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,372953,10731100,,"EDUCATION RESEARCH, DEVELOPMENT AND DISSEMINATION"
32092326,77814201922,2019,77814,22,84.305,ASSESSING STUDENTS' PROGRESS ON ENERGY CONCEPTS USING 3D,-21060,Y,,,,,,Y,84,305,530196568,84,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,372953,10731100,,"EDUCATION RESEARCH, DEVELOPMENT AND DISSEMINATION"
32092327,77814201923,2019,77814,23,84.305,BSCS: ASSESSING STUDENTS' PROGRESS ON ENERGY CONCEPTS,220766,Y,,,,,,N,84,305,530196568,84,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,372953,10731100,,"EDUCATION RESEARCH, DEVELOPMENT AND DISSEMINATION"
32092328,77814201924,2019,77814,24,43.001,NASA/ESD: 2018-19 S&T POLICY FELLOWSHIP,131520,Y,,,,,,Y,43,001,530196568,43,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,405006,10731100,,SCIENCE
32092329,77814201925,2019,77814,25,43.001,NASA/RAP: SCIENCE &TECHNOLOGY POLICY FELLOWSHIP,52950,Y,,,,,,Y,43,001,530196568,43,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,405006,10731100,,SCIENCE
32092330,77814201926,2019,77814,26,66.510,S&T POLICY FELLOWSHIPS,709124,N,,,,,,Y,66,510,530196568,66,,,,N,0,,0,,,N,,709124,0,,"SURVEYS, STUDIES, INVESTIGATIONS AND SPECIAL PURPOSE GRANTS WITHIN THE OFFICE OF RESEARCH AND DEVELOPMENT"
32092331,77814201927,2019,77814,27,43.001,NASA/ESD/ASD: 2015-18 S&T POLICY FELLOWSHIP,220536,N,,,,,,Y,43,001,530196568,43,,,,N,0,,0,,,N,,405006,0,,SCIENCE
32092332,77814201928,2019,77814,28,10.001,USDA/ARS: SUPPORT OF AAAS STPF FELLOWSHIP,211397,N,,,,,,Y,10,001,530196568,10,,,,N,0,,0,,,N,,299255,0,,AGRICULTURAL RESEARCH_BASIC AND APPLIED RESEARCH
32092333,77814201929,2019,77814,29,10.001,USDA/ARS: SUPPORT OF RILEY MEMORIAL LECTURE SERIES,9995,N,,,,,,Y,10,001,530196568,10,,,,N,0,,0,,,N,,299255,0,,AGRICULTURAL RESEARCH_BASIC AND APPLIED RESEARCH
32092307,7781420193,2019,77814,3,47.076,STIMULATING RESEARCH & INNOVATION STEM TEACHER EDUCATION,1103410,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,51597,,RESEARCH AND DEVELOPMENT,Y,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092337,77814201933,2019,77814,33,10.025,USDA/APHIS-BRS: 2019-20 STPF FELLOWSHIP,139792,N,,,,,,Y,10,025,530196568,10,,,,N,0,,0,,,N,,408530,0,,"PLANT AND ANIMAL DISEASE, PEST CONTROL, AND ANIMAL CARE"
32092334,77814201930,2019,77814,30,10.001,USDA/OCS: 2018-19 SCIENCE & TECHNOLOGY FELLOWSHIP,9506,N,,,,,,Y,10,001,530196568,10,,,,N,0,,0,,,N,,299255,0,,AGRICULTURAL RESEARCH_BASIC AND APPLIED RESEARCH
32092335,77814201931,2019,77814,31,10.001,USDA/OCS: 2019-20 SCIENCE & TECHNOLOGY FELLOWSHIP,68357,N,,,,,,Y,10,001,530196568,10,,,,N,0,,0,,,N,,299255,0,,AGRICULTURAL RESEARCH_BASIC AND APPLIED RESEARCH
32092336,77814201932,2019,77814,32,10.025,USDA/APHIS-BRS: 2018-19 S&T FELLOWSHIPS,268738,N,,,,,,Y,10,025,530196568,10,,,,N,0,,0,,,N,,408530,0,,"PLANT AND ANIMAL DISEASE, PEST CONTROL, AND ANIMAL CARE"
32092338,77814201934,2019,77814,34,19.017,GIST TECH-I COMPETITION 2019,381769,Y,,,,,,Y,19,017,530196568,19,U,,,N,0,,0,,,N,,381769,0,,ENVIRONMENTAL AND SCIENTIFIC PARTNERSHIPS AND PROGRAMS
32092339,77814201935,2019,77814,35,19.033,CRDF: DOS/ISN: SCIENCE AND TECHNOLOGY FELLOWSHIPS,50467,N,,,,,,N,19,033,530196568,19,,,,N,0,,0,,,N,,50467,0,,GLOBAL THREAT REDUCTION
32092340,77814201936,2019,77814,36,15.651,USFWS: SCIENCE AND TECHNOLOGY FELLOWSHIP,867,N,,,,,,Y,15,651,530196568,15,,,,N,0,,0,,,N,,867,0,,CENTRAL AFRICA REGIONAL
32092341,77814201937,2019,77814,37,15.954,NPS: SCIENCE & TECHNOLOGY POLICY FELLOWSHIP WASO,-1566,N,,,,,,Y,15,954,530196568,15,,,,N,0,,0,,,N,,-1566,0,,"NATIONAL PARK SERVICE CONSERVATION, PROTECTION, OUTREACH, AND EDUCATION"
32092342,77814201938,2019,77814,38,15.956,NPS: PROMOTING INTERNATIONAL PRESERVATION FELLOWSHIP,88624,N,,,,,,Y,15,956,530196568,15,,,,N,0,,0,,,N,,88624,0,,COOPERATIVE MANAGEMENT OF EBEY'S LANDING NATIONAL HISTORICAL RESERVE
32092343,77814201939,2019,77814,39,11.620,NIST: 2017-22 STPF FELLOWSHIPS,231510,N,,,,,,Y,11,620,530196568,11,,,,N,0,,0,,,N,,231510,0,,"SCIENCE, TECHNOLOGY, BUSINESS AND/OR EDUCATION OUTREACH"
32092308,7781420194,2019,77814,4,47.076,SCIENCE IN THE CLASSROOM - SITC,144902,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092344,77814201940,2019,77814,40,16.560,SCIENCE AND TECHNOLOGY POLICY FELLOWSHIPS,322339,N,,,,,,Y,16,560,530196568,16,,,,N,0,,0,,,N,,322339,0,,"NATIONAL INSTITUTE OF JUSTICE RESEARCH, EVALUATION, AND DEVELOPMENT PROJECT GRANTS"
32092345,77814201941,2019,77814,41,85.003,SCIENCE AND TECHNOLOGY POLICY FELLOWSHIPS,742260,N,,,,,,Y,85,003,530196568,85,,,,N,0,,0,,,N,,742260,0,,MCC DOMESTIC ASSISTANCE FOR OVERSEAS PROGRAMS
32092309,7781420195,2019,77814,5,47.076,EMERGING RESEARCHERS NAT'L (ERN) CONFERENCE IN STEM,1379982,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092310,7781420196,2019,77814,6,47.076,DCL:INCLUDES TECHNICAL & HUMAN INFRASTRUCTURE TO SUPPORT,101520,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092311,7781420197,2019,77814,7,47.076,DCL:INCLUDES TECHNICAL & HUMAN INFRASTUCTURE SUPPORT,60345,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092312,7781420198,2019,77814,8,47.076,SITC WORKSHOP,76965,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,31399,,RESEARCH AND DEVELOPMENT,Y,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
32092313,7781420199,2019,77814,9,47.076,IMPACT OF MAKING & INNOVATION AT HBCUS,211439,Y,,,,,,Y,47,076,530196568,47,U,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,5267344,10731100,,EDUCATION AND HUMAN RESOURCES
30852224,9175120191,2019,91751,1,84.063,FEDERAL PELL GRANT PROGRAM,6968407,Y,,,,,,Y,84,063,610470593,84,U,,,N,1,,0,,STUDENT FINANCIAL ASSISTANCE,N,,6968407,62144928,,FEDERAL PELL GRANT PROGRAM
30852226,9175120192,2019,91751,2,84.268,FEDERAL DIRECT STUDENT LOANS,54497702,Y,,,,,,Y,84,268,610470593,84,U,,,Y,2,-1,0,,STUDENT FINANCIAL ASSISTANCE,N,,54497702,62144928,,FEDERAL DIRECT STUDENT LOANS
30852230,9175120193,2019,91751,3,84.033,FEDERAL WORK-STUDY PROGRAM,479137,Y,,,,,,Y,84,033,610470593,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,479137,62144928,,FEDERAL WORK-STUDY PROGRAM
30852233,9175120194,2019,91751,4,84.007,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS,199682,Y,,,,,,Y,84,007,610470593,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,199682,62144928,,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS
30743723,10111120191,2019,101111,1,84.063,FEDERAL PELL GRANT PROGRAM,3903385,Y,,,,,,Y,84,063,741109631,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,3903385,46664738,,FEDERAL PELL GRANT PROGRAM
30743732,101111201910,2019,101111,10,93.859,BIOMEDICAL RESEARCH AND RESEARCH TRAINING,39077,N,,,,,,N,93,859,741109631,93,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,39077,39077,,BIOMEDICAL RESEARCH AND RESEARCH TRAINING
30743733,101111201911,2019,101111,11,93.243,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES_PROJECTS OF REGIONAL AND NATIONAL SIGNIFICANCE,116828,N,,,,,,Y,93,243,741109631,93,,,,N,0,,0,,,N,,116828,0,,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES_PROJECTS OF REGIONAL AND NATIONAL SIGNIFICANCE
30743734,101111201912,2019,101111,12,16.575,CRIME VICTIM ASSISTANCE,64728,N,,,,,,N,16,575,741109631,16,,,,N,0,,0,,,N,,64728,0,,CRIME VICTIM ASSISTANCE
30743735,101111201913,2019,101111,13,10.223,HISPANIC SERVING INSTITUTIONS EDUCATION GRANTS,29332,N,,,,,,Y,10,223,741109631,10,,,,N,0,,16811,,,Y,,29332,0,,HISPANIC SERVING INSTITUTIONS EDUCATION GRANTS
30743736,101111201914,2019,101111,14,10.902,SOIL AND WATER CONSERVATION,2204,N,,,,,,Y,10,902,741109631,10,,,,N,0,,0,,,N,,2204,0,,SOIL AND WATER CONSERVATION
30743724,10111120192,2019,101111,2,84.033,FEDERAL WORK-STUDY PROGRAM,568834,Y,,,,,,Y,84,033,741109631,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,568834,46664738,,FEDERAL WORK-STUDY PROGRAM
30743725,10111120193,2019,101111,3,84.007,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS,293750,Y,,,,,,Y,84,007,741109631,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,293750,46664738,,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS
30743726,10111120194,2019,101111,4,84.379,TEACHER EDUCATION ASSISTANCE FOR COLLEGE AND HIGHER EDUCATION GRANTS (TEACH GRANTS),8878,Y,,,,,,Y,84,379,741109631,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,8878,46664738,,TEACHER EDUCATION ASSISTANCE FOR COLLEGE AND HIGHER EDUCATION GRANTS (TEACH GRANTS)
30743727,10111120195,2019,101111,5,84.268,FEDERAL DIRECT STUDENT LOANS,39636085,Y,,,,,,Y,84,268,741109631,84,U,,,Y,0,-1,0,,STUDENT FINANCIAL ASSISTANCE,N,,39636085,46664738,,FEDERAL DIRECT STUDENT LOANS
30743728,10111120196,2019,101111,6,84.038,FEDERAL PERKINS LOAN PROGRAM,2253806,Y,,,,,,Y,84,038,741109631,84,U,,,Y,0,1937346,0,,STUDENT FINANCIAL ASSISTANCE,N,,2253806,46664738,,
30743729,10111120197,2019,101111,7,84.217,TRIO_MCNAIR POST-BACCALAUREATE ACHIEVEMENT,213460,N,,,,,,Y,84,217,741109631,84,,,,N,0,,0,,TRIO CLUSTER,N,,213460,213460,,TRIO_MCNAIR POST-BACCALAUREATE ACHIEVEMENT
30743730,10111120198,2019,101111,8,84.031,HIGHER EDUCATION_INSTITUTIONAL AID,774953,Y,,,,,,Y,84,031,741109631,84,U,,,N,0,,456078,,,Y,,774953,0,,HIGHER EDUCATION_INSTITUTIONAL AID
30743731,10111120199,2019,101111,9,84.366,MATHEMATICS AND SCIENCE PARTNERSHIPS,170440,N,,,,,,N,84,366,741109631,84,,,,N,0,,0,,,N,,170440,0,,MATHEMATICS AND SCIENCE PARTNERSHIPS
31044578,14562620191,2019,145626,1,10.553,SCHOOL BREAKFAST PROGRAM,191127,N,,,,,,N,10,553,480697704,10,,,,N,0,,0,,CHILD NUTRITION CLUSTER,N,,191127,1086218,,SCHOOL BREAKFAST PROGRAM
31044911,145626201910,2019,145626,10,84.424,STUDENT SUPPORT AND ACADEMIC ENRICHMENT PROGRAM,48699,N,,,,,,N,84,424,480697704,84,,,,N,0,,0,,,N,,48699,0,,STUDENT SUPPORT AND ACADEMIC ENRICHMENT PROGRAM
31044984,145626201911,2019,145626,11,84.181,SPECIAL EDUCATION-GRANTS FOR INFANTS AND FAMILIES,102540,N,,,,,,N,84,181,480697704,84,,,,N,0,,0,,,N,,102540,0,,SPECIAL EDUCATION-GRANTS FOR INFANTS AND FAMILIES
31045014,145626201912,2019,145626,12,93.600,HEAD START,979203,N,,,,,,Y,93,600,480697704,93,,,,N,0,,0,,,N,,979203,0,,HEAD START
31045071,145626201913,2019,145626,13,93.558,TEMPORARY ASSISTANCE FOR NEEDY FAMILIES,84361,N,,,,,,N,93,558,480697704,93,,,,N,0,,0,,,N,,84361,0,,TEMPORARY ASSISTANCE FOR NEEDY FAMILIES
31044590,14562620192,2019,145626,2,10.555,NATIONAL SCHOOL LUNCH PROGRAM,862581,N,,,,,,N,10,555,480697704,10,,,,N,0,,0,,CHILD NUTRITION CLUSTER,N,,862581,1086218,,NATIONAL SCHOOL LUNCH PROGRAM
31044612,14562620193,2019,145626,3,10.559,SUMMER FOOD SERVICE PROGRAM FOR CHILDREN,32510,N,,,,,,N,10,559,480697704,10,,,,N,0,,0,,CHILD NUTRITION CLUSTER,N,,32510,1086218,,SUMMER FOOD SERVICE PROGRAM FOR CHILDREN
31044635,14562620194,2019,145626,4,84.027,SPECIAL EDUCATION_GRANTS TO STATES,1073446,Y,,,,,,N,84,027,480697704,84,U,,,N,0,,0,,SPECIAL EDUCATION CLUSTER (IDEA),N,,1073446,1109060,,SPECIAL EDUCATION_GRANTS TO STATES
31044655,14562620195,2019,145626,5,84.173,SPECIAL EDUCATION_PRESCHOOL GRANTS,35614,Y,,,,,,N,84,173,480697704,84,U,,,N,0,,0,,SPECIAL EDUCATION CLUSTER (IDEA),N,,35614,1109060,,SPECIAL EDUCATION_PRESCHOOL GRANTS
31044685,14562620196,2019,145626,6,84.048,CAREER AND TECHNICAL EDUCATION -- BASIC GRANTS TO STATES,47711,N,,,,,,N,84,048,480697704,84,,,,N,0,,0,,,N,,47711,0,,CAREER AND TECHNICAL EDUCATION -- BASIC GRANTS TO STATES
