"Assistance Listings Number","Title","Types of Assistance","Department/Ind. Agency","Sub-Tier","Related Federal Assistance","Last Date Modified","Date Published","Funded","POC Information"
"93.178","Nursing Workforce Diversity","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.417","Dec 31, 2024","Dec 31, 2024","true","Jasmine Price (NWD)
Division of Nursing and Public Health, Bureau of Health Workforce, Health Resources and Services Administration, Rockville MD 20857
301-443-7151
"
"93.059","Training in General, Pediatric, and Public Health Dentistry","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 31, 2024","Dec 31, 2024","true","CDR Tracy Glascoe, Chief, Oral Health Branch, Division of Medicine and Dentistry, Bureau of Health Workforce
5600 Fishers Lane, Rockville  MD 20857
240-478-1563
"
"93.516","Public Health Training Centers Program","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.249","Dec 31, 2024","Dec 31, 2024","true","Caroline Ayong, (PHTC) Project Officer, Behavioral and Public Health Branch, Division of Nursing and Public Health, Bureau of Health Workforce
Health Resources and Services Administration, Department of Health and Human Services 5600 Fishers Lane, 11N94D, Rockville MD 20857
301-287-0230
"
"93.157","Centers of Excellence","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 31, 2024","Dec 31, 2024","true","Tammy Mayo-Blake, M.Ed, Health Careers Pipeline Branch, Division of Health Careers and Financial Support, Bureau of Health Workforce
5600 Fishers Lane, Rockville MD 20857
3014430827
"
"93.359","Nurse Education, Practice Quality and Retention Grants","B - Project Grants (Special)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 31, 2024","Dec 31, 2024","true","Kirk Koyama Division of Nursing and Public Health, Bureau of Health Workforce (BHW)
Health Resources and Services Administration, Department of Health and Human Services, 5600 Fishers Lane, Room 9-89, Rockville MD 20857
301-443-4926
"
"93.117","Preventive Medicine Residency","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 31, 2024","Dec 31, 2024","true","Anthony L. Schlaff, Medical Training and Geriatrics Branch
Division of Medicine and Dentistry
Bureau of Health Workforce, Rockville  MD 20857
301-287-9815
"
"15.580","Aquatic Ecosystem Restoration Program","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","BUREAU OF RECLAMATION","N/A","Dec 30, 2024","Dec 30, 2024","true","Avra Morgan
Bureau of Reclamation, Water Resources and Planning Office, Mail Code: 86-69200, P.O. Box 25007, Denver CO 80225
3034452906
"
"15.013","Alaska Native Science and Engineering","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","BUREAU OF OCEAN ENERGY MANAGEMENT","N/A","Dec 30, 2024","Dec 30, 2024","true","Jacob Levenson
45600   Woodlawn Road, VAM-OEP, Sterling VA 20166
703-787-1710
"
"15.443","Not For Profit","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","BUREAU OF OCEAN ENERGY MANAGEMENT","15.421, 15.422","Dec 30, 2024","Dec 30, 2024","true","Rodney Cluck
Bureau of Ocean Energy Management, 45600 Woodland Road,, Sterling VA 20166
(703) 787-1087 
"
"15.504","Water Recycling and Desalination Construction Programs","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","BUREAU OF RECLAMATION","N/A","Dec 30, 2024","Dec 30, 2024","true","Maribeth Menendez
Technical/Program Information:  Bureau of Reclamation, Water Resources and Planning Office,  Mail Code: 86-63000, Denver Federal Center, P.O. Box 25007, Denver CO 80225
(303) 445-2094
"
"81.279","Law Enforcement Support of Pantex Plant","B - Cooperative Agreements","ENERGY, DEPARTMENT OF","","81.260","Dec 27, 2024","Dec 27, 2024","true","Virginia T. Hernandez
Department of Energy, National Nuclear Security Administration (DOE/NNSA), Albuquerque NM 87185
(240) 688-6349
"
"10.617","PL-480 Market Development and Technical Assistance","B - Project Grants (Discretionary)","AGRICULTURE, DEPARTMENT OF","FOREIGN AGRICULTURAL SERVICE","N/A","Dec 27, 2024","Dec 27, 2024","false","Curt Alt
1400 Independence Ave SW, Washington DC 20250
2026904784
"
"10.977","Organic Dairy Marketing Assistance Program","C - Direct Payments for Specified Use","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","N/A","Dec 19, 2024","Dec 19, 2024","true","Douglas E. Kilgore
1400 Independence Avenue, SW, Washington DC 20250
(717)887-0963
"
"10.171","Organic Certification Cost Share Programs","C - Direct Payments for Specified Use","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","N/A","Dec 19, 2024","Dec 19, 2024","true","Christopher Vazquez
1400 Independence Ave., SW, Washington DC 20250
(202) 293-1585
"
"10.113","Agriculture Risk Coverage Program","D - Direct Payments with Unrestricted Use","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","10.055","Dec 19, 2024","Dec 19, 2024","true","Jamie Garriott
1400 Independence Ave SW Room 4759-S, Washington DC 20250
(202) 253-9843
"
"93.932","Native Hawaiian Health Care Systems","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 18, 2024","Dec 18, 2024","true","Bureau of Primary Health Care, Health Resources and Services Administration,
5600 Fishers Lane, Rockville MD 20857
(301) 594-4300
"
"93.924","Ryan White HIV/AIDS Dental Reimbursement and Community Based Dental Partnership Grants","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 18, 2024","Dec 18, 2024","true","Mahyar Mofidi, Director, Division of Community HIV/AIDS Programs
HIV/AIDS Bureau
Health Resources and Services Administration, Rockville MD 20857
(301) 443-2075
"
"93.913","Grants to States for Operation of State Offices of Rural Health","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 18, 2024","Dec 18, 2024","true","Sarah Ndiang'ui Program Coordinator
Federal Office of Rural Health Policy, Rockville MD 20857
(301) 443-0876
"
"93.877","Autism Collaboration, Accountability, Research, Education, and Support","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.994, 93.110, 93.251, 93.926, 93.365","Dec 18, 2024","Dec 18, 2024","true","Michael D. Warren, Associate Administrator for Maternal and Child Health
5600 Fishers Lane , Rockville  MD 20857
301-443-2170
"
"93.870","Maternal, Infant and Early Childhood Home Visiting Grant","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.994, 93.110","Dec 18, 2024","Dec 18, 2024","true","Meseret Bezuneh, M.S.Ed, Chief, Implementation Branch 
Division of Home Visiting and Early Childhood Systems
Maternal and Child Health Bureau
Health Resources and Services Administration, Rockville MD 20857
(301) 594-4149
"
"93.526","Grants for Capital Development in Health Centers","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.224","Dec 18, 2024","Dec 18, 2024","false","Bureau of Primary Health Care, Health Resources and Services Administration 
Health Resources and Services Administration, 5600 Fishers Lane, Rockville MD 20857
(301) 594-4300
"
"93.504","Family to Family Health Information Centers","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.127, 93.994, 93.110, 93.153, 93.251, 93.926, 93.365","Dec 18, 2024","Dec 18, 2024","true","Michael D. Warren, Associate Administrator for Maternal and Child Health
Division of Services for Children with Special Health Needs, Maternal and Child Health Bureau, Room 18W09-A,, Rockville MD 20857
301-443-2170
"
"93.342","Health Professions Student Loans, Including Primary Care Loans and Loans for Disadvantaged Students","B - Project Grants (to capitalize loan funds)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","84.038","Dec 18, 2024","Dec 18, 2024","true","Jim Essel (PCL), Devonaline Horne (LDS), or Hai Le (HPSL), Division of Health Careers and Financial Support, Bureau of Health Workforce, Health Resources and Services Administration, Department of Health and Human Services
5600 Fishers Lane, Rockville MD 20857
1-877-464-4772
"
"93.288","National Health Service Corps Scholarship Program","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.303, 93.165, 93.162","Dec 18, 2024","Dec 18, 2024","true","Israil Ali, National Health Service Corps Scholarship Program
Division of National Health Service Corps
Bureau of Health Workforce,  Room 14N56, Rockville MD 20857
(301) 594-4400
"
"93.266","Health Systems Strengthening and HIV/AIDS Prevention, Care and Treatment under the President's Emergency Plan for AIDS Relief","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.145","Dec 18, 2024","Dec 18, 2024","true","Melissa Ryan Kemburu, Office of Global Health Director?
5600 Fishers Lane, Rockville MD 20857
(301) 443-1648
"
"93.253","Poison Center Support and Enhancement Grant","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 18, 2024","Dec 18, 2024","true","Maureen Perkins, Team Lead, Poison Control Program,
Maternal and Child Health Bureau, 
5600 Fishers Lane, Room 18N44, Rockville MD 20857
(301) 443-9163
"
"93.251","Early Hearing Detection and Intervention","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 18, 2024","Dec 18, 2024","true","Treeby Brown
5600 Fishers Lane, Room 18W59, Rockville MD 20857
(301) 945-9661
"
"10.936","Gulf Coast Ecosystem Restoration Council Comprehensive Plan Component Program","C - Direct Payments for Specified Use (Cooperative Agreements)","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","N/A","Dec 18, 2024","Dec 18, 2024","true","Ron Howard, Senior Advisor
Gulf Coast Ecosystem Team, Madison MS 39110
601-812-9449
"
"10.904","Watershed Protection and Flood Prevention","B - Cooperative Agreements","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","10.905, 12.104, 10.905, 10.907, 10.902, 10.903, 10.664","Dec 18, 2024","Dec 18, 2024","true","Ralph Smith, Acting Branch Chief, Watershed Programs Branch, United States Department of Agriculture, Natural Resources Conservation Service, Conservation Planning & Technical Assistance Division
1400 Independence Avenue, SW, Washington DC 20250
202-819-6587
"
"10.902","Soil and Water Conservation","B - Cooperative Agreements","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","10.500, 10.905, 10.905, 10.054, 10.907, 10.903, 10.904","Dec 18, 2024","Dec 18, 2024","true","Aaron Lauster
1400 Independence Ave., SW, Washington DC 20250
(202) 260-9230
"
"93.241","State Rural Hospital Flexibility Program","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 18, 2024","Dec 18, 2024","true","Laura Seifert, Program Coordinator
Federal Office of Rural Health Policy, Rockville MD 20857
(301) 443-3343
"
"93.224","Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 18, 2024","Dec 18, 2024","true","Bureau of Primary Health Care, Health Resources and Services Administration
5600 Fishers Lane,, Rockville MD 20857
(301) 594-4300
"
"93.211","Telehealth Programs","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Dec 18, 2024","Dec 18, 2024","true","Office for the Advancement of Telehealth
5600 Fishers Lane, Rockville MD 20857
3014430835
"
"93.145","HIV-Related Training and Technical Assistance","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.917, 93.153, 93.914, 93.918","Dec 18, 2024","Dec 18, 2024","true","Deputy Associate Administrator Heather Hauck
HRSA/HIV AIDS Bureau
                                                                                                                                                     Health Resources and Services Administration, Rockville MD 20857
3014431993
"
"10.561","State Administrative Matching Grants for the Supplemental Nutrition Assistance Program","A - Formula Grants","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","10.551","Dec 18, 2024","Dec 18, 2024","true","Associate Administrator
Supplemental Nutrition Assistance Program, 1320 Braddock Place, Alexandria VA 22314
(703) 305-2022
"
"10.646","Summer Electronic Benefit Transfer Program for Children","A - Formula Grants","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","N/A","Dec 18, 2024","Dec 18, 2024","true","Melissa Rothstein
1320 Braddock Place, Alexandria VA 22314
703-346-4484
"
"10.984","Discrimination Financial Assistance Program","D - Direct Payments with Unrestricted Use","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","N/A","Dec 18, 2024","Dec 18, 2024","true","Gainesville Technology Entrepreneurship Center (GTEC)
2153 SE Hawthorne Rd, Suite 217, Gainesville FL 32641
DFAP call center, 1-800-721-0970
"
"10.551","Supplemental Nutrition Assistance Program","A - Formula Grants","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","10.566, 10.567","Dec 18, 2024","Dec 18, 2024","true","Associate Administrator
Supplemental Nutrition Assistance Program, Food and Nutrition Service, Department of Agriculture, 1320 Braddock Place, Alexandria VA 22314
(703) 305-2022
"
"10.099","Conservation Loans","E - Direct Loans","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","N/A","Dec 18, 2024","Dec 18, 2024","true","James Jackson
1400 Independence Ave, SW, Washington DC 20250
202-692-4940
"
"64.100","Automobiles and Adaptive Equipment for Certain Disabled Veterans and Members of the Armed Forces","C - Direct Payments for Specified Use","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","64.013","Dec 18, 2024","Dec 18, 2024","true","Jude  Lopez 
VBA, Office of Executive Review

810 Vermont Ave., N.W, Washington DC 20420
(202) 461-9275
"
"10.449","Boll Weevil Eradication Loan Program","E - Direct Loans","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","10.025","Dec 18, 2024","Dec 18, 2024","true","James Jackson
1400 Independence Avenue, SW, Washington DC 20250
(202) 692-4940
"
"10.931","Agricultural Conservation Easement Program","J - Provision of Specialized Services","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","10.922, 10.920, 10.072, 10.069, 10.913, 10.922, 10.913, 10.904","Dec 18, 2024","Dec 18, 2024","true","Danielle Balduff
1400 Independence Ave, SW 4527, Washington DC 20250
202-720-6168
"
"64.109","Veterans Compensation for Service-Connected Disability","C - Direct Payments for Specified Use","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","64.103","Dec 18, 2024","Dec 18, 2024","true","Veterans Benefits Administration Compensation Service
810 Vermont Ave., N.W., Washington DC 20420
(206) 965-3884
"
"10.385","Timber Production Expansion Guaranteed Loans","F - Guaranteed/Insured Loans","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","N/A","Dec 18, 2024","Dec 18, 2024","true","Shaun Stehr
1400 Independence St SW 
Stop 3201, Washington DC 20250
202-594-6454
"
"10.520","Agriculture Risk Management Education Partnerships Competitive Grants Program","B - Project Grants","AGRICULTURE, DEPARTMENT OF","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE","N/A","Dec 17, 2024","Dec 17, 2024","true","Keith Harris
P.O. Box 419205, Mail Stop 10000, Kansas City MO 64141
816-916-0332
"
"10.874","Delta Health Care Services Grant Program","B - Project Grants (Discretionary)","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","N/A","Dec 17, 2024","Dec 17, 2024","true","Direct Program Branch
1400 Independence Avenue, SW, Washington DC 20250-1550
202-720-1400
"
"10.872","Healthy Food Financing Initiative","B - Project Grants","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","N/A","Dec 17, 2024","Dec 17, 2024","true","Gail Thuner
1400 Independence Avenue, SW
 Room 4208-South, Washington DC 20250
2026902426
"
"10.462","Transitional and Organic Grower Assistance Program","G - Insurance (Reimbursement)","AGRICULTURE, DEPARTMENT OF","RISK MANAGEMENT AGENCY","N/A","Dec 17, 2024","Dec 17, 2024","false","Francie Tolle, Director
USDA/RMA/Stop 0801 Room 2004-South 1400 Independence Ave. SW,, Washington DC 20250
(816) 926-7829
"
"10.754","Higher Blends Infrastructure Incentive Program","B - Project Grants","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","N/A","Dec 17, 2024","Dec 17, 2024","true","Jeff Carpenter
1400 Independence Ave, Washington DC 20410
402-318-8195
"
"10.755","Rural Innovation Stronger Economy","B - Project Grants","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","N/A","Dec 17, 2024","Dec 17, 2024","true","Will Dobson
1400 Independence Ave, SW, Washington DC 20250
202-720-1400
"
"10.292","Food Loss and Waste Reduction","B - Cooperative Agreements","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF ECONOMIST","N/A","Dec 17, 2024","Dec 17, 2024","false","Celia A Hernandez
1400 Independence Ave., SW Rm 4434-S
, Washington DC 20250-3812
2024010463
"
"10.377","Agriculture Innovation Center Demonstration Program","B - Project Grants","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","N/A","Dec 17, 2024","Dec 17, 2024","true","Gail Thuner
1400 Independence Avenue, SW
 Room 4208-South, Washington DC 20250
202-690-2426
"
"10.868","Rural Energy for America Program","F - Guaranteed/Insured Loans","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","10.768, 10.769","Dec 16, 2024","Dec 16, 2024","true","Debra Yocum
1400 Independence Ave, Washington DC 20504
4024991198
"
"10.322","Distance Education Grants for Institutions of Higher Education in Insular Areas","B - Project Grants","AGRICULTURE, DEPARTMENT OF","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE","10.308","Dec 16, 2024","Dec 16, 2024","true","USDA, NIFA, National Program Leader, 
Institute of Youth, Family, and Community, Division of Community and Education, National Institute of Food and Agriculture U.S. Department of Agriculture 
P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205,
Courier/Package Delivery Address:
2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141
816-599-1916
"
"10.729","Inflation Reduction Act - National Forest System","C - Direct Payments for Specified Use (Cooperative Agreements)","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","N/A","Dec 16, 2024","Dec 16, 2024","true","Chernoh Barrie
201 Independence Ave, SW, Washington DC 20250
2023657774
"
"20.909","Transportation Research and Technology Advancement","B - Cooperative Agreements","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Dec 16, 2024","Dec 16, 2024","true","Caesar Singh
1200 New Jersey Ave, SE, Washington DC 20003
2023663252
"
"10.320","Sun Grant Program","B - Project Grants (Cooperative Agreements)","AGRICULTURE, DEPARTMENT OF","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE","10.312, 10.310, 10.306","Dec 16, 2024","Dec 16, 2024","true","USDA. NIFA, National Program Leader; 
Institute of Bioenergy, Climate, and Environment, Division of Bioenergy, National Institute of Food and Agriculture U.S. Department of Agriculture 
P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205
Courier/Package Delivery Address:
2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141
816-908-3121
"
"10.523","Centers of Excellence at 1890 Institutions","B - Project Grants (Discretionary)","AGRICULTURE, DEPARTMENT OF","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE","N/A","Dec 16, 2024","Dec 16, 2024","true","USDA, NIFA, National Program Leader
Institute of Youth, Family, and Community, Division of Community and Education, National Institute of Food and Agriculture U.S. Department of Agriculture 
P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205
Courier/Package Delivery Address:
2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141
816-702-9676
"
"10.737","Forest and Grassland Collaboratives","B - Project Grants (Discretionary)","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","N/A","Dec 16, 2024","Dec 16, 2024","true","Joseph Smith
1400 Independence Ave. S.W., Washington DC 20250
202-503-8424
"
"10.312","Biomass Research and Development Initiative Competitive Grants Program (BRDI)","B - Project Grants","AGRICULTURE, DEPARTMENT OF","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE","10.215, 10.320, 10.200, 10.310, 10.212","Dec 16, 2024","Dec 16, 2024","false","USDA, NIFA, National Program Leader,
Institute of Bioenergy, Climate, and Environment, Division of Bioenergy, National Institute of Food and Agriculture
U.S. Department of Agriculture 
P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205
Courier/Package Delivery Address:
2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141
(202) 401-5244
"
"10.771","Rural Cooperative Development Grants","B - Project Grants","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","10.871","Dec 16, 2024","Dec 16, 2024","true","Lisa Sharp
1400 Independence Avenue, SW
Mail Stop 3253, Room 4208-South
, Washington DC 20250-3253
202-720-1400
"
"10.870","Rural Microentrepreneur Assistance Program","B - Project Grants","AGRICULTURE, DEPARTMENT OF","RURAL BUSINESS COOPERATIVE SERVICE","N/A","Dec 16, 2024","Dec 16, 2024","true","Shamika Johnson
1400 Independence Ave, Washington DC 20250
202-720-1400
"
"64.126","Native American Veteran Direct Loan Program","E - Direct Loans","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","15.124, 64.114, 64.119, 64.118, 64.106","Dec 16, 2024","Dec 16, 2024","true","Heather Sborz - VBA, Loan Guaranty Service
810 Vermont Ave., NW, Washington DC 20420
(602) 315-0486
"
"64.114","Veterans Housing Guaranteed and Insured Loans","F - Guaranteed/Insured Loans","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","15.124, 64.119, 64.118, 64.106","Dec 16, 2024","Dec 16, 2024","true","Heather Sborz
3333 N. Central Ave., Phoenix AZ 85012
602-627-2921
"
"10.666","Schools and Roads - Grants to Counties","C - Direct Payments for Specified Use","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","N/A","Dec 16, 2024","Dec 16, 2024","true","Leanne Veldhuis 
201 14th Street, SW, Suite 4 NW, Washington DC 20024
202-649-1177
"
